Description,Category
"GazePointer is a Webcam eye tracker software that lets you move mouse cursor using your eyes.

GazePointer is a software that uses an ordinary webcam to estimate the direction of your gaze. This information can then be passed to other applications (e.g https://gazerecorder.com/gazescroll/, https://sourceforge.net/projects/gazeboard/ ). For example, used in conjunction with Dasher, GazePointer allows you to write with your eyes.


if you want to integrate GazePointer with your own solution you can access gaze data via GazeFlowAPI: https://github.com/szydej/GazeFlowAPI

You can also check out:
GazeRecorder, which records your eye movement on the screen:
https://gazerecorder.com

Online Live Demo:
GazeCloudAPI real-time eye tracking https://api.gazerecorder.com
GazeRecorder APP (Behavior Analytics Made Easy. Website Eye-Tracking Heatmaps & More) https://app.gazerecorder.comGazePointer is a Webcam eye tracker software that lets you move mouse cursor using your eyes.

GazePointer is a software that uses an ordinary webcam to estimate the direction of your gaze. This information can then be passed to other applications (e.g https://gazerecorder.com/gazescroll/, https://sourceforge.net/projects/gazeboard/ ). For example, used in conjunction with Dasher, GazePointer allows you to write with your eyes.


if you want to integrate GazePointer with your own solution you can access gaze data via GazeFlowAPI: https://github.com/szydej/GazeFlowAPI

You can also check out:
GazeRecorder, which records your eye movement on the screen:
https://gazerecorder.com

Online Live Demo:
GazeCloudAPI real-time eye tracking https://api.gazerecorder.com
GazeRecorder APP (Behavior Analytics Made Easy. Website Eye-Tracking Heatmaps & More) https://app.gazerecorder.com","Categories
Communications, HMI"
"This Library includes a DMX Master, DMX Slave and various examples on how to use its implementation. This projects has been started to support the use of our Shielded DMX / RDM Shield for Arduino. The library is made available under the GNU Lesser General Public License

If you would like to make contributions to the source code feel free to contact the project adminThis Library includes a DMX Master, DMX Slave and various examples on how to use its implementation. This projects has been started to support the use of our Shielded DMX / RDM Shield for Arduino. The library is made available under the GNU Lesser General Public License

If you would like to make contributions to the source code feel free to contact the project admin","Categories
Communications, Embedded Systems, Libraries"
"A C# .NET app to download or capture data from several medical device interfaces such as Datex AS3 S/5 Anesthesia, Philips Intellivue, GE Dash, Mindray, Spacelabs patient monitors, GE Engstrom, Draeger (Medibus), Maquet (Servo-i & Flow-i), Puritan Bennett ventilators, Fresenius Agilia, Alaris Carefusion, BBraun Spacecom syringe and volumetric pumps, Roche Cobas ASTM ABG analyzers. Requires Visual Studio 2019, .NET 5 or Visual Studio for Mac to compile. Android version requires Xamarin Studio, Android SDK to compile. Support for capture from other monitors is planned in future.A C# .NET app to download or capture data from several medical device interfaces such as Datex AS3 S/5 Anesthesia, Philips Intellivue, GE Dash, Mindray, Spacelabs patient monitors, GE Engstrom, Draeger (Medibus), Maquet (Servo-i & Flow-i), Puritan Bennett ventilators, Fresenius Agilia, Alaris Carefusion, BBraun Spacecom syringe and volumetric pumps, Roche Cobas ASTM ABG analyzers. Requires Visual Studio 2019, .NET 5 or Visual Studio for Mac to compile. Android version requires Xamarin Studio, Android SDK to compile. Support for capture from other monitors is planned in future.","Categories
Communications"
Roundcube Plugin that adds a new tab to the settings section to create simple client-side e-mail filtering.Roundcube Plugin that adds a new tab to the settings section to create simple client-side e-mail filtering.,"Categories
Email, Enterprise, WWW/HTTP"
"OpenLTE is an open source implementation of the 3GPP LTE specifications.

Currently, octave code is available for test and simulation of downlink transmit and receive functionality and uplink PRACH transmit and receive functionality. In addition, GNU Radio applications are available for downlink transmit and receive to and from a file, downlink receive using rtl-sdr, HackRF, or USRP B2X0, LTE I/Q file recording using rtl-sdr, HackRF, or USRP B2X0, and a simple eNodeB using USRP B2X0. The current focus is on extending the capabilities of the GNU Radio applications and adding capabilities to the simple base station application (LTE_fdd_enodeb).OpenLTE is an open source implementation of the 3GPP LTE specifications.

Currently, octave code is available for test and simulation of downlink transmit and receive functionality and uplink PRACH transmit and receive functionality. In addition, GNU Radio applications are available for downlink transmit and receive to and from a file, downlink receive using rtl-sdr, HackRF, or USRP B2X0, LTE I/Q file recording using rtl-sdr, HackRF, or USRP B2X0, and a simple eNodeB using USRP B2X0. The current focus is on extending the capabilities of the GNU Radio applications and adding capabilities to the simple base station application (LTE_fdd_enodeb).","Categories
Communications, Telephony"
This project is an implementation of the Precision Time Protocol (PTP) according to IEEE standard 1588 for Linux.This project is an implementation of the Precision Time Protocol (PTP) according to IEEE standard 1588 for Linux.,"Categories
Distributed Computing, File Sync, Test and Measurement"
Synchronize your Lotus Notes calendar to calendar on your Android device. It works only via Bluetooth.Synchronize your Lotus Notes calendar to calendar on your Android device. It works only via Bluetooth.,"Categories
Mobile, File Sync"
"Dec 2013 update:
The Skype Diceroller has become officially obsolete. Skype announced that they are discontinuing support for the Skype API, which the project depends on in order to read chat message data. Unfortunately, there isn't an alternative mechanism currently available to that would support the diceroller's functionality. This project is essentially on hiatus until a new API or other means of retrieving chat data from Skype becomes available.

Thank you all for downloading. It was fun to work on this project, and I hope to work on it more.

August 3rd 2013 update:

DiceRoller v2.0 is now v2.1! The dice roll parsing and result mechanism has been offloaded to Lua, The current script is bare-bones, but more features will be added over time, and you can add them yourself without the need for downloading/compiling source code.

Version 2.1 is currently in beta.Dec 2013 update:
The Skype Diceroller has become officially obsolete. Skype announced that they are discontinuing support for the Skype API, which the project depends on in order to read chat message data. Unfortunately, there isn't an alternative mechanism currently available to that would support the diceroller's functionality. This project is essentially on hiatus until a new API or other means of retrieving chat data from Skype becomes available.

Thank you all for downloading. It was fun to work on this project, and I hope to work on it more.

August 3rd 2013 update:

DiceRoller v2.0 is now v2.1! The dice roll parsing and result mechanism has been offloaded to Lua, The current script is bare-bones, but more features will be added over time, and you can add them yourself without the need for downloading/compiling source code.

Version 2.1 is currently in beta.","Categories
Chat, Board Games, Multiplayer"
"Imagine being understood anywhere in any language. We are developing a very simple photo-like written language that you can use on your notepad while traveling abroad. Wither you are in China, France, Japan, Egypt or Mexico, you'll be understood.Imagine being understood anywhere in any language. We are developing a very simple photo-like written language that you can use on your notepad while traveling abroad. Wither you are in China, France, Japan, Egypt or Mexico, you'll be understood.","Categories
Communications"
Naufrago! is a simple offline RSS reader (including images) written in Python.Naufrago! is a simple offline RSS reader (including images) written in Python.,"Categories
RSS Feed Readers"
"The Collaboration Environment, supporting e-Science, is a comprehensive resource sharing and collaboration platform specific for research group.The Collaboration Environment, supporting e-Science, is a comprehensive resource sharing and collaboration platform specific for research group.","Categories
Mailing List Servers"
"Client-server transfers files/folders P2P, fast and secure: transparent compression/encryption (SSL), pause/resume, TCP/UDP connection, auto-discover, proxy support (HTTP, SOCKS5), NAT Traversal (Teredo, UPnP), HTTP/FTP downloads, speed graph, chat.Client-server transfers files/folders P2P, fast and secure: transparent compression/encryption (SSL), pause/resume, TCP/UDP connection, auto-discover, proxy support (HTTP, SOCKS5), NAT Traversal (Teredo, UPnP), HTTP/FTP downloads, speed graph, chat.","Categories
File Sharing, File Transfer Protocol (FTP), WWW/HTTP"
Iptables match module capable of matching various peer-to-peer networks by examining the application-layer protocolIptables match module capable of matching various peer-to-peer networks by examining the application-layer protocol,"Categories
File Sharing, Firewall"
Antitheft software for WM5 and WM6 phones with GPS module(tested on Eten X500+ and Mio A701). Useful for searching of lost/stolen phones and children monitoring. Can monitor sim card changes. Coordinates of the phone can be acquired by SMS.Antitheft software for WM5 and WM6 phones with GPS module(tested on Eten X500+ and Mio A701). Useful for searching of lost/stolen phones and children monitoring. Can monitor sim card changes. Coordinates of the phone can be acquired by SMS.,"Categories
Communications, Security, Monitoring"
"emule client, based on emule Xtreme Mod (see https://sourceforge.net/projects/emulextreme/) many enhancements, bugfixes and useful features from other mods. Lite Mod, based on X Mod only keep the commonly used features and reduce memory usageemule client, based on emule Xtreme Mod (see https://sourceforge.net/projects/emulextreme/) many enhancements, bugfixes and useful features from other mods. Lite Mod, based on X Mod only keep the commonly used features and reduce memory usage","Categories
File Sharing"
A milter program for domain authentication technologies.A milter program for domain authentication technologies.,"Categories
Email Spam Filter"
"TinyRadius is a small, fast and reliable Java Radius library capable of
sending and receiving Radius packets as specified by RFC 2865/2866. TinyRadius is not a fully-fledged Radius server, but helps you to implement Radius services in your application.TinyRadius is a small, fast and reliable Java Radius library capable of
sending and receiving Radius packets as specified by RFC 2865/2866. TinyRadius is not a fully-fledged Radius server, but helps you to implement Radius services in your application.","Categories
Communications, Networking, Internet"
"NOTE: Code commits are FROZEN on SourceForge: New code is now at <http://github.com/Xastir/Xastir>. Real-time tracking & messaging of stations via radio/internet APRS data streams, w/125 map formats supported. Linux/FreeBSD/Solaris/MacOSX/Windows in any of 7 languages. Can also be used for mobile mapping w/GPS. MAILING LISTS ARE AT: PROJECT->WEB SITE.NOTE: Code commits are FROZEN on SourceForge: New code is now at <http://github.com/Xastir/Xastir>. Real-time tracking & messaging of stations via radio/internet APRS data streams, w/125 map formats supported. Linux/FreeBSD/Solaris/MacOSX/Windows in any of 7 languages. Can also be used for mobile mapping w/GPS. MAILING LISTS ARE AT: PROJECT->WEB SITE.","Categories
Ham Radio, Data Visualization, GIS"
"VMime is a free mail library for C++. This is an open-source solution for working with MIME messages and Internet messaging services like IMAP, POP or SMTP.VMime is a free mail library for C++. This is an open-source solution for working with MIME messages and Internet messaging services like IMAP, POP or SMTP.","Categories
Email, Software Development, Networking, Internet"
"Frontera is an open art project which uses interactive video combined with hand tracking to make an ""interactive portrait"". It uses open standards like OpenCV and the OSC protocol.Frontera is an open art project which uses interactive video combined with hand tracking to make an ""interactive portrait"". It uses open standards like OpenCV and the OSC protocol.","Categories
Streaming, Media Players, Realtime Processing, Video Capture"
Enhanced CTorrent is a BitTorrent client for unix-like environments. High performance with minimal system resources and dependencies is a priority.Enhanced CTorrent is a BitTorrent client for unix-like environments. High performance with minimal system resources and dependencies is a priority.,"Categories
BitTorrent"
"[antispam] MailCleaner is an anti-spam / anti-virus filter SMTP gateway with user and admin web interfaces, quarantine, multi-domains, multi-templates, multi-languages. Using Bayes, RBLs, Spamassassin, MailScanner, ClamAV. Based on Debian. Enterprise ready.
MailCleaner is an anti spam gateway installed between your mail infrastructure and the Internet.
It includes a complete GNU/Linux OS and a graphical web interface for user and administrative access. It comes in the form of virtual machine templates..
- fully compatible with any SMTP mail server (Exchange, Zimbra, O365,...)

You can install now MailCleaner within the following virtual environments:
qcow2 (KVM, Proxmox, OpenStack, Xen)
ova (OVA, VMware ESXi, VMware Workstation, Fusion)
vhd (Asure, VirtualPC)
vhdx (Hyper-V)
AMI (Amazon)

Dedicate a server to MailCleaner, and you will have a working professional mail filter in less than an hour.[antispam] MailCleaner is an anti-spam / anti-virus filter SMTP gateway with user and admin web interfaces, quarantine, multi-domains, multi-templates, multi-languages. Using Bayes, RBLs, Spamassassin, MailScanner, ClamAV. Based on Debian. Enterprise ready.
MailCleaner is an anti spam gateway installed between your mail infrastructure and the Internet.
It includes a complete GNU/Linux OS and a graphical web interface for user and administrative access. It comes in the form of virtual machine templates..
- fully compatible with any SMTP mail server (Exchange, Zimbra, O365,...)

You can install now MailCleaner within the following virtual environments:
qcow2 (KVM, Proxmox, OpenStack, Xen)
ova (OVA, VMware ESXi, VMware Workstation, Fusion)
vhd (Asure, VirtualPC)
vhdx (Hyper-V)
AMI (Amazon)

Dedicate a server to MailCleaner, and you will have a working professional mail filter in less than an hour.","Categories
Email Spam Filter, Firewall, Anti-Spam, Load Balancers, Email Servers"
"Fidoip contain shell scripts, sources which automatically compile and binaries, install FIDO software(Binkd, Hisky HPT and Golded), create directories, setup configuration files and script on FreeBSD, Linux, Windows and DragonFly BSD.
Fidoip could be used for:
* clients(FIDONet points) - as software package for client access to FIDONet;
* system operators(aka FIDONet bosses) - as automatic installation package for IP-node creation (FIDONet servers).
* detailed documentation - see links at http://sourceforge.net/p/fidoip/wiki
* brief description of Design and features of fidoip on Russian and English http://sourceforge.net/projects/fidoip/files/media/fidoip-design-and-features.pdf
* video guides for FIDO points and bosses at http://sf.net/projects/fidoip/files/media/videoguide/Fidoip contain shell scripts, sources which automatically compile and binaries, install FIDO software(Binkd, Hisky HPT and Golded), create directories, setup configuration files and script on FreeBSD, Linux, Windows and DragonFly BSD.
Fidoip could be used for:
* clients(FIDONet points) - as software package for client access to FIDONet;
* system operators(aka FIDONet bosses) - as automatic installation package for IP-node creation (FIDONet servers).
* detailed documentation - see links at http://sourceforge.net/p/fidoip/wiki
* brief description of Design and features of fidoip on Russian and English http://sourceforge.net/projects/fidoip/files/media/fidoip-design-and-features.pdf
* video guides for FIDO points and bosses at http://sf.net/projects/fidoip/files/media/videoguide/","Categories
FIDO"
"Convert Webmail to POP3.Is also included a SMTP/POP3 tunneling system that allow send and receive email in a private network HTTP PROXY based. All connection are plugin based. Over 450 email server supported and tested, GMAIL POP3/SMTP over Proxy Network.Convert Webmail to POP3.Is also included a SMTP/POP3 tunneling system that allow send and receive email in a private network HTTP PROXY based. All connection are plugin based. Over 450 email server supported and tested, GMAIL POP3/SMTP over Proxy Network.","Categories
POP3, Usenet News, Email Servers"
"Social Networking Open Source Software, an open source social networking framework, written in PHP, Javascript and MySQL with an AJAX UI.Social Networking Open Source Software, an open source social networking framework, written in PHP, Javascript and MySQL with an AJAX UI.","Categories
Chat, Dynamic Content"
Coccinella is a free and open-source cross-platform communication tool with a built-in whiteboard for improved collaboration with other people.Coccinella is a free and open-source cross-platform communication tool with a built-in whiteboard for improved collaboration with other people.,"Categories
Chat, Conferencing, Whiteboard"
Popfax printer is a driver that converts any document your desktop can print into a black and white TIFF FAX G3 format and then sends it to any fax machine via Popfax.com Internet fax services. Releases after 2.3 are maintained on Popfax.com own servers.Popfax printer is a driver that converts any document your desktop can print into a black and white TIFF FAX G3 format and then sends it to any fax machine via Popfax.com Internet fax services. Releases after 2.3 are maintained on Popfax.com own servers.,"Categories
Fax, Office/Business, Internet"
Clavier virtuel et synthétiseur vocal pour les personnes ne pouvant plus parler et ayant du mal à utiliser leurs mains. Virtual keyboard and speech synthetiser for people with reduced mobility and unability to speak. In French and english.Clavier virtuel et synthétiseur vocal pour les personnes ne pouvant plus parler et ayant du mal à utiliser leurs mains. Virtual keyboard and speech synthetiser for people with reduced mobility and unability to speak. In French and english.,"Categories
Communications, Speech, Sound Synthesis"
"From this time on, LibPST will not be maintained here. It will be maintained at http://alioth.debian.org/projects/libpst/. Also, check the version at http://www.five-ten-sg.com/libpstFrom this time on, LibPST will not be maintained here. It will be maintained at http://alioth.debian.org/projects/libpst/. Also, check the version at http://www.five-ten-sg.com/libpst","Categories
Email Spam Filter"
"""Nearly Intelligent Computer Operated Language Examiner"" - NICOLE is a theory or experiment that if a computer is given enough combinations of how words, phrases and sentences are related to one another, it could talk back to you.""Nearly Intelligent Computer Operated Language Examiner"" - NICOLE is a theory or experiment that if a computer is given enough combinations of how words, phrases and sentences are related to one another, it could talk back to you.","Categories
Chat, Simulation Games, Artificial Intelligence"
"A GTK+ Gnutella client, efficient, reliable and fast, written in C. It has been optimized for speed and scalability, with low-memory consumption. It is meant to be left running 24x7, using little CPU and only the configured bandwidth.
It is possible to run gtk-gnutella without a GUI or using a shell interface.A GTK+ Gnutella client, efficient, reliable and fast, written in C. It has been optimized for speed and scalability, with low-memory consumption. It is meant to be left running 24x7, using little CPU and only the configured bandwidth.
It is possible to run gtk-gnutella without a GUI or using a shell interface.","Categories
Gnutella"
"A replacement firmware distribution for the 3com 3CRADSL72 a.k.a 3com wireless 11g (distributed by Ya.com) and its identical twin, the SMC7804WBRA, with an ucLinux kernel based system and associated system tools.A replacement firmware distribution for the 3com 3CRADSL72 a.k.a 3com wireless 11g (distributed by Ya.com) and its identical twin, the SMC7804WBRA, with an ucLinux kernel based system and associated system tools.","Categories
Communications, Firewall, Operating System Kernels, Hardware, Internet"
"Simscan enables qmail to reject viruses, spam, and block attachments during the SMTP conversation so the email never makes it into your email server. Supports ClamAV, SpamAssassin, DSpam and other virus scanners. Very efficient and written in C.Simscan enables qmail to reject viruses, spam, and block attachments during the SMTP conversation so the email never makes it into your email server. Supports ClamAV, SpamAssassin, DSpam and other virus scanners. Very efficient and written in C.","Categories
Email Spam Filter, Email Servers"
qutim - multiplatform ICQ instant messenger.qutim - multiplatform ICQ instant messenger.,"Categories
ICQ, Messaging"
"VideoWhisper Live Streaming provides web based live video streaming (from webcam or similar sources).

Live Streaming key features:
+ 1 to many 1 way video streaming
+ Live chat for viewers
+ User list with online participants
+ Channel title
+ HTML embed code to publish video channel
+ P2P group streaming support
+ Session timer and control with scripts
+ 100% web based for clients


The php edition is the easiest choice to setup and run the Live Streaming application on a website.
Also to integrate with any php script or content management system that does not have a ready made integration, yet.

PHP Live Streaming Edition Highlights:
+ Create Live Video Channels
+ Broadcast Live Video from Browser
+ Share Channels Link/Embed Code
+ Limit Total Use Time by Channel
+ Simple Setup
+ Easy to Install
+ Full PHP Source Code
+ Easy to Integrate


Requires a RTMP hosting to setup rtmp side (see installation instructions).VideoWhisper Live Streaming provides web based live video streaming (from webcam or similar sources).

Live Streaming key features:
+ 1 to many 1 way video streaming
+ Live chat for viewers
+ User list with online participants
+ Channel title
+ HTML embed code to publish video channel
+ P2P group streaming support
+ Session timer and control with scripts
+ 100% web based for clients


The php edition is the easiest choice to setup and run the Live Streaming application on a website.
Also to integrate with any php script or content management system that does not have a ready made integration, yet.

PHP Live Streaming Edition Highlights:
+ Create Live Video Channels
+ Broadcast Live Video from Browser
+ Share Channels Link/Embed Code
+ Limit Total Use Time by Channel
+ Simple Setup
+ Easy to Install
+ Full PHP Source Code
+ Easy to Integrate


Requires a RTMP hosting to setup rtmp side (see installation instructions).","Categories
Communications, Sound/Audio, Video Conferencing"
FreePOPs is a webmail to pop3 conversion daemon. It is extensible to support other webmail using the scripting language LUA. See the homepage for supported webmails.FreePOPs is a webmail to pop3 conversion daemon. It is extensible to support other webmail using the scripting language LUA. See the homepage for supported webmails.,"Categories
POP3, WWW/HTTP"
"NOTE: Source code is now hosted on github at https://github.com/plutinosoft/Platinum.

A cross-platform C++ library for discovering, controlling or implementing UPnP devices. Contains sample code for a UPnP AV Media Server, Media Renderer & Control Point. (Platinum is copyrighted by Plutinosoft, LLC. http://www.plutinosoft.com)NOTE: Source code is now hosted on github at https://github.com/plutinosoft/Platinum.

A cross-platform C++ library for discovering, controlling or implementing UPnP devices. Contains sample code for a UPnP AV Media Server, Media Renderer & Control Point. (Platinum is copyrighted by Plutinosoft, LLC. http://www.plutinosoft.com)","Categories
Streaming, Software Development"
"base64 RFC1113 Vanilla ANSI-C Code for a portable stand-alone file encode/decode utility. In 2001, I asked people to 'Help me break it!' Since then, 10+years later, the code remains unbroken and is in wide production use world-wide. It has been ported to all major architectures and been used as a template for ports to different computer and human languages. This is very mature and stable code.

Although this comes from a project that was constrained by export controls and is used in secure systems, it is not security code per-se. I have therefore altered the 'Export Controls' category.base64 RFC1113 Vanilla ANSI-C Code for a portable stand-alone file encode/decode utility. In 2001, I asked people to 'Help me break it!' Since then, 10+years later, the code remains unbroken and is in wide production use world-wide. It has been ported to all major architectures and been used as a template for ports to different computer and human languages. This is very mature and stable code.

Although this comes from a project that was constrained by export controls and is used in secure systems, it is not security code per-se. I have therefore altered the 'Export Controls' category.","Categories
Email, Libraries"
