Description,Category
easyTIM is a tool for determining psychological types.easyTIM is a tool for determining psychological types.,"Categories
Sociology"
Egotistics is a social network analysis program that allows users to simultaneously explore multiple personal networks (called 'ego networks').Egotistics is a social network analysis program that allows users to simultaneously explore multiple personal networks (called 'ego networks').,"Categories
Information Analysis, Sociology, Education"
Public Timestamp - a project to certify the existence of files at a specific date. This software is used for http://publictimestamp.org.Public Timestamp - a project to certify the existence of files at a specific date. This software is used for http://publictimestamp.org.,"Categories
Dynamic Content, History"
"The major aim of the Psychtoolbox 3 wrapper is to provide a set of basic tools that allow programming novices the use of the Psychophysics Toolbox without limiting the power and flexibility
of the Psychophysics Toolbox and MATLAB.The major aim of the Psychtoolbox 3 wrapper is to provide a set of basic tools that allow programming novices the use of the Psychophysics Toolbox without limiting the power and flexibility
of the Psychophysics Toolbox and MATLAB.","Categories
Scientific/Engineering, Psychology, Research"
"A tool for describing one's present life situation (“is”), and potential futures (“will be”) as linked data objects representing one's relationship to reality-based concepts: people, environments, objects, processes, knowledge, and time.A tool for describing one's present life situation (“is”), and potential futures (“will be”) as linked data objects representing one's relationship to reality-based concepts: people, environments, objects, processes, knowledge, and time.","Categories
Communications, Office/Business, Sociology"
Text file to utilizeText file to utilize,"Categories
History"
"This is a little Software Project, which is able to decode the divine key from god which can be found in the Koran (Qu'ran). The Software further contains the book (as HTML) from the 6th Angel of the Apocalypse.This is a little Software Project, which is able to decode the divine key from god which can be found in the Koran (Qu'ran). The Software further contains the book (as HTML) from the 6th Angel of the Apocalypse.","Categories
Cryptography, New Age, Intelligent Agents, Information Analysis, Earth Sciences, History"
Kinship Editor is a java graphical editor for entering kinship data for further analysis or to display in application-generated diagrams. The document produced is an XML format capable of representing any form of kinship relationships.Kinship Editor is a java graphical editor for entering kinship data for further analysis or to display in application-generated diagrams. The document produced is an XML format capable of representing any form of kinship relationships.,"Categories
Other/Nonlisted Topic, Genealogy"
"GEDPrint is a small tool to create visual representations from GEDCOM files. This can include family trees or ancestor tables. The result can be viewed on screen or send to a printer. GDBI support is planned but not implemented, yet.GEDPrint is a small tool to create visual representations from GEDCOM files. This can include family trees or ancestor tables. The result can be viewed on screen or send to a printer. GDBI support is planned but not implemented, yet.","Categories
Genealogy"
"Gedcom.NET is a .NET/Mono genealogy application development library, and set of applications which make use of this.Gedcom.NET is a .NET/Mono genealogy application development library, and set of applications which make use of this.","Categories
GNOME, Software Development, Genealogy"
"Hiitch is a secure and advanced desktop social networking platform. It allows you to build a focused and private network of communities for your family, friends, company and etc. It gives you total control and freedom for your social networking needs.Hiitch is a secure and advanced desktop social networking platform. It allows you to build a focused and private network of communities for your family, friends, company and etc. It gives you total control and freedom for your social networking needs.","Categories
Communications, Enterprise, Security, Software Development, Internet, Sociology"
"Volunteer management system assisting in recruitment, tracking, scheduling, and contacting people. Tracks skills, availability, interests, friends, events, messages, objectives and tasks.Volunteer management system assisting in recruitment, tracking, scheduling, and contacting people. Tracks skills, availability, interests, friends, events, messages, objectives and tasks.","Categories
Scheduling, Database, Dynamic Content, Sociology"
"Rodovid is a drag-n-drop genealogic program for Linux or Windows based on Tk, Perl. You can edit info (name, sex, dates of birth, death, marriage, etc...) for individuals, add/remove photos, import and export GEDCOM data, creating sites like http://www.mishchenko.tk.Rodovid is a drag-n-drop genealogic program for Linux or Windows based on Tk, Perl. You can edit info (name, sex, dates of birth, death, marriage, etc...) for individuals, add/remove photos, import and export GEDCOM data, creating sites like http://www.mishchenko.tk.","Categories
Genealogy"
"QTTabBar is extension for Windows Explorer that brings tabbed browsing to Microsoft's file browser, along with a host of other great features. Under new management! Now in public beta!QTTabBar is extension for Windows Explorer that brings tabbed browsing to Microsoft's file browser, along with a host of other great features. Under new management! Now in public beta!","Categories
Window Managers, System Shells"
"WinDirStat (Windows Directory Statistics) is a disk usage statistics viewer and cleanup tool for Windows. On start up, WinDirStat reads the whole directory tree once and then presents it in three useful views:

- The directory list, which resembles the tree view of the Windows Explorer but is sorted by file/subtree size,
- The treemap, which shows the whole contents of the directory tree straight away,
- The extension list, which serves as a legend and shows statistics about the file types.

Visit the WinDirStat blog for more up-to-date information about the program.

Note: If you are looking for an alternative to WinDirStat for Linux, then you are looking for KDirStat (apt-get install kdirstat on Debian-derivatives), and the alternative to WinDirStat for MacOS X is Disk Inventory X or GrandPerspective.WinDirStat (Windows Directory Statistics) is a disk usage statistics viewer and cleanup tool for Windows. On start up, WinDirStat reads the whole directory tree once and then presents it in three useful views:

- The directory list, which resembles the tree view of the Windows Explorer but is sorted by file/subtree size,
- The treemap, which shows the whole contents of the directory tree straight away,
- The extension list, which serves as a legend and shows statistics about the file types.

Visit the WinDirStat blog for more up-to-date information about the program.

Note: If you are looking for an alternative to WinDirStat for Linux, then you are looking for KDirStat (apt-get install kdirstat on Debian-derivatives), and the alternative to WinDirStat for MacOS X is Disk Inventory X or GrandPerspective.","Categories
Storage, Systems Administration, File Systems"
"A web-based system administration tool for Unix servers and services.

https://github.com/webmin/webminA web-based system administration tool for Unix servers and services.

https://github.com/webmin/webmin","Categories
Systems Administration"
"Bulk Crap Uninstaller (in short BCUninstaller or BCU) is a free (as in speech and beer) bulk program uninstaller with advanced automation. It excels at removing large amounts of applications with minimal to no user input, while requiring next to no technical knowledge.

It can detect most applications and games (even portable or not registered), clean up leftovers, force uninstall, automatically uninstall according to premade lists, and much more.

Bulk Crap Uninstaller is licensed under Apache 2.0 open source license, and can be used in both private and commercial settings for free and with no obligations, as long as no conditions of the license are broken.Bulk Crap Uninstaller (in short BCUninstaller or BCU) is a free (as in speech and beer) bulk program uninstaller with advanced automation. It excels at removing large amounts of applications with minimal to no user input, while requiring next to no technical knowledge.

It can detect most applications and games (even portable or not registered), clean up leftovers, force uninstall, automatically uninstall according to premade lists, and much more.

Bulk Crap Uninstaller is licensed under Apache 2.0 open source license, and can be used in both private and commercial settings for free and with no obligations, as long as no conditions of the license are broken.","Categories
Installation/Setup, Unattended"
"Classic Shell adds some missing features to Windows 7, 8, 8.1 and Vista like a classic start menu, toolbar for Explorer and others.

[b]Note:[/b] The software available here is not the latest version. Visit the new website www.classicshell.net to download the latest version and to access the new forums and documentation.Classic Shell adds some missing features to Windows 7, 8, 8.1 and Vista like a classic start menu, toolbar for Explorer and others.

[b]Note:[/b] The software available here is not the latest version. Visit the new website www.classicshell.net to download the latest version and to access the new forums and documentation.","Categories
Desktop Environment, System Shells"
"ConEmu-Maximus5 aims to be handy, comprehensive, fast and reliable terminal window where you may host any console application developed either for WinAPI (cmd, powershell, far) or Unix PTY (cygwin, msys, wsl bash).
As Windows console window enhancement (local terminal emulator), it presents multiple consoles and simple GUI applications as one customizable tabbed GUI window with various features.

Also, due to deep integration, ConEmu is the best companion for Far Manager, my favorite shell replacement.

Disclaimer.
ConEmu is not a shell, so it does not provide ""shell features"" like tab-completion, command history and others. But you can run any shell or remote access client of your choice in ConEmu! Try Clink for bash-style completion in cmd.exe and PSReadLine or PowerTab in powershell.exe. Or just run Bash from your favourite distro.
Also, ConEmu does not provide remote access (SSH/Telnet/...) too, just use your remote client (ssh.exe, telnet.exe) instead.ConEmu-Maximus5 aims to be handy, comprehensive, fast and reliable terminal window where you may host any console application developed either for WinAPI (cmd, powershell, far) or Unix PTY (cygwin, msys, wsl bash).
As Windows console window enhancement (local terminal emulator), it presents multiple consoles and simple GUI applications as one customizable tabbed GUI window with various features.

Also, due to deep integration, ConEmu is the best companion for Far Manager, my favorite shell replacement.

Disclaimer.
ConEmu is not a shell, so it does not provide ""shell features"" like tab-completion, command history and others. But you can run any shell or remote access client of your choice in ConEmu! Try Clink for bash-style completion in cmd.exe and PSReadLine or PowerTab in powershell.exe. Or just run Bash from your favourite distro.
Also, ConEmu does not provide remote access (SSH/Telnet/...) too, just use your remote client (ssh.exe, telnet.exe) instead.","Categories
Terminals, Usability, Emulators"
"7-Zip is a file archiver with a high compression ratio. You can use 7-Zip on any computer, including a computer in a commercial organization. You don't need to register or pay for 7-Zip. 7-Zip works for Windows 7, Vista, XP, 2008, 2003, 2000, NT, ME, and 98. And there is a port of the command line version to Linux/Unix. Most of the source code is under the GNU LGPL license. The unRAR code is under a mixed license with GNU LGPL + unRAR restrictions. Check the license for details.7-Zip is a file archiver with a high compression ratio. You can use 7-Zip on any computer, including a computer in a commercial organization. You don't need to register or pay for 7-Zip. 7-Zip works for Windows 7, Vista, XP, 2008, 2003, 2000, NT, ME, and 98. And there is a port of the command line version to Linux/Unix. Most of the source code is under the GNU LGPL license. The unRAR code is under a mixed license with GNU LGPL + unRAR restrictions. Check the license for details.","Categories
File Compression, Backup, Application Packaging, File Archivers"
"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
windows users,
note that luckybackup is originally developed for linux and the windows port (version) is under heavy development at the moment.

Feedback is more than welcome and will be appreciated, but please consider the above before you provide a negative review.
windows dedicated forum:
https://sourceforge.net/p/luckybackup/discussion/2264489/
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
windows users,
note that luckybackup is originally developed for linux and the windows port (version) is under heavy development at the moment.

Feedback is more than welcome and will be appreciated, but please consider the above before you provide a negative review.
windows dedicated forum:
https://sourceforge.net/p/luckybackup/discussion/2264489/
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~","Categories
Backup"
"iNinja is an up-to-date proxy service that gives you an opportunity to open any sites bypassing the interlock. It allows you to hide your actual location and protect your personal data.

iNinja advantages:
Easy setup.
Simplicity of use. Service activation in two clicks in the Chrome browser.
High speed.
You can select one of 9 proxy locations (the list of the locations regularly grows). No matter from what place of the world you connect, your connection is detected as selected proxy location. It is necessary for full protection of your personal data and accessibility to websites blocked in your country. It takes just one second, just two clicks to hide your actual location.
Proxy autorun.
Proxy runs automatically when you open the Chrome browser, there is nothing else should be done.
White proxy list.
By default proxy runs only for websites added to the white list, so you can visit all other websites from your actual IP-address.iNinja is an up-to-date proxy service that gives you an opportunity to open any sites bypassing the interlock. It allows you to hide your actual location and protect your personal data.

iNinja advantages:
Easy setup.
Simplicity of use. Service activation in two clicks in the Chrome browser.
High speed.
You can select one of 9 proxy locations (the list of the locations regularly grows). No matter from what place of the world you connect, your connection is detected as selected proxy location. It is necessary for full protection of your personal data and accessibility to websites blocked in your country. It takes just one second, just two clicks to hide your actual location.
Proxy autorun.
Proxy runs automatically when you open the Chrome browser, there is nothing else should be done.
White proxy list.
By default proxy runs only for websites added to the white list, so you can visit all other websites from your actual IP-address.","Categories
Networking"
"************************************************************************************************************************
* The primary FreeRTOS repository is now in Git. Go to https://github.com/freertos for the latest FreeRTOS kernel and libraries.
* Our support has moved to https://forums.freertos.org.
************************************************************************************************************************

FreeRTOS is a market-leading real-time operating system (RTOS) for microcontrollers and small microprocessors. Distributed freely under the MIT open source license, FreeRTOS includes a kernel and a growing set of libraries suitable for use across all industry sectors. Visit https://www.freertos.org for more information and other download options.

Note about support/discussions forum:
The FreeRTOS support forum has moved to https://forums.freertos.org. Please update your bookmarks and create new posts in the appropriate category in the new community forums.************************************************************************************************************************
* The primary FreeRTOS repository is now in Git. Go to https://github.com/freertos for the latest FreeRTOS kernel and libraries.
* Our support has moved to https://forums.freertos.org.
************************************************************************************************************************

FreeRTOS is a market-leading real-time operating system (RTOS) for microcontrollers and small microprocessors. Distributed freely under the MIT open source license, FreeRTOS includes a kernel and a growing set of libraries suitable for use across all industry sectors. Visit https://www.freertos.org for more information and other download options.

Note about support/discussions forum:
The FreeRTOS support forum has moved to https://forums.freertos.org. Please update your bookmarks and create new posts in the appropriate category in the new community forums.","Categories
Software Development, Operating System Kernels, Embedded Systems, ROMs"
D-Fend Reloaded is a graphical environment for DOSBox. D-Fend Reloaded is a successor of the discontinued D-Fend. Both environments look alike and D-Fend Reloaded contains all features of D-Fend. Even the D-Fend config files can be used.D-Fend Reloaded is a graphical environment for DOSBox. D-Fend Reloaded is a successor of the discontinued D-Fend. Both environments look alike and D-Fend Reloaded contains all features of D-Fend. Even the D-Fend config files can be used.,"Categories
Other/Nonlisted Topic, Games/Entertainment, Emulators"
"NSIS (Nullsoft Scriptable Install System) is a professional open source system to create Windows installers. It is designed to be as small and flexible as possible and is therefore very suitable for internet distribution.

Being a user's first experience with your product, a stable and reliable installer is an important component of succesful software. With NSIS you can create such installers that are capable of doing everything that is needed to setup your software.

NSIS is script-based and allows you to create the logic to handle even the most complex installation tasks. Many plug-ins and scripts are already available: you can create web installers, communicate with Windows and other software components, install or update shared components and more.NSIS (Nullsoft Scriptable Install System) is a professional open source system to create Windows installers. It is designed to be as small and flexible as possible and is therefore very suitable for internet distribution.

Being a user's first experience with your product, a stable and reliable installer is an important component of succesful software. With NSIS you can create such installers that are capable of doing everything that is needed to setup your software.

NSIS is script-based and allows you to create the logic to handle even the most complex installation tasks. Many plug-ins and scripts are already available: you can create web installers, communicate with Windows and other software components, install or update shared components and more.","Categories
Build Tools, Software Distribution, Installation/Setup"
"phpSysInfo is a customizable PHP Script that parses /proc, and formats information nicely. It will display information about system facts like Uptime, CPU, Memory, PCI devices, SCSI devices, IDE devices, Network adapters, Disk usage, and more.phpSysInfo is a customizable PHP Script that parses /proc, and formats information nicely. It will display information about system facts like Uptime, CPU, Memory, PCI devices, SCSI devices, IDE devices, Network adapters, Disk usage, and more.","Categories
Dynamic Content, Hardware"
"Community driven projects featuring the latest innovations for cutting edge apps. Our flagship project JBoss AS is the leading Open Source, standards-compliant, Java EE based application server implemented in 100% Pure Java.Community driven projects featuring the latest innovations for cutting edge apps. Our flagship project JBoss AS is the leading Open Source, standards-compliant, Java EE based application server implemented in 100% Pure Java.","Categories
Dynamic Content, Object Brokering, Operating System Kernels"
See http://sourceforge.net/p/boot-repair-cd/homeSee http://sourceforge.net/p/boot-repair-cd/home,"Categories
Init"
"Wine is an Open Source implementation of the Windows API on top of X and Unix. Wine provides both a development toolkit for porting Windows sources to Unix and a program loader, allowing many unmodified Windows binaries to run on x86-based Unixes.Wine is an Open Source implementation of the Windows API on top of X and Unix. Wine provides both a development toolkit for porting Windows sources to Unix and a program loader, allowing many unmodified Windows binaries to run on x86-based Unixes.","Categories
Desktop Environment, Emulators"
"AutoMySQLBackup with a basic configuration will create Daily, Weekly and Monthly backups of one or more of your MySQL databases from one or more of your MySQL servers.

Other Features include:
- Email notification of backups
- Backup Compression and Encryption
- Configurable backup rotation
- Incremental database backups

Time for a new maintainer.. I first created AutoMySQLBackup in 2002 and since then it's helped many thousands of admins keep their databases backed up.. I always had one basic requirement and that was that it should always be super simple to initially get working.. I would like to hand it over now to someone with the time and skill to keep it updated and take it further.. If you would like to take over the project please get in touch..AutoMySQLBackup with a basic configuration will create Daily, Weekly and Monthly backups of one or more of your MySQL databases from one or more of your MySQL servers.

Other Features include:
- Email notification of backups
- Backup Compression and Encryption
- Configurable backup rotation
- Incremental database backups

Time for a new maintainer.. I first created AutoMySQLBackup in 2002 and since then it's helped many thousands of admins keep their databases backed up.. I always had one basic requirement and that was that it should always be super simple to initially get working.. I would like to hand it over now to someone with the time and skill to keep it updated and take it further.. If you would like to take over the project please get in touch..","Categories
Backup"
"OpenMediaVault is the next generation network attached storage (NAS) solution based on Debian Linux. It contains services like SSH, (S)FTP, SMB/CIFS, DAAP media server, RSync, BitTorrent client and many more. Thanks to the modular design of the framework it can be enhanced via plugins.

OpenMediaVault is primarily designed to be used in home environments or small home offices, but is not limited to those scenarios. It is a simple and easy to use out-of-the-box solution that will allow everyone to install and administrate a Network Attached Storage without deeper knowledge.OpenMediaVault is the next generation network attached storage (NAS) solution based on Debian Linux. It contains services like SSH, (S)FTP, SMB/CIFS, DAAP media server, RSync, BitTorrent client and many more. Thanks to the modular design of the framework it can be enhanced via plugins.

OpenMediaVault is primarily designed to be used in home environments or small home offices, but is not limited to those scenarios. It is a simple and easy to use out-of-the-box solution that will allow everyone to install and administrate a Network Attached Storage without deeper knowledge.","Categories
Storage, Backup, Systems Administration"
"Save monitor configurations of Windows 7 or 10 and easily switch between them with a click in a popup menu of your taskbar.

The tool is designed for users with two or more monitors who in certain situations would like to quickly change their monitor setup (e.g. enable/disable a TV which is attached to the HDMI port, make an attached TV the primary display to remove tearing switch which monitor is on the left/right...). Along the monitor state and setup the resolution is also saved and restored.

The program works by saving a current monitor setup as configured using the windows control panel to an xml file. Once saved the configuration can be quickly restored at any time. Requires .NET 4.0 Framework to be installed.

The program is quite simple and in an early development stage. It is provided without any warranty. If you accidentally disable all your monitors boot into safe mode to fix the problem.

If you like the program say thanks by clicking the Donation link in the menu!Save monitor configurations of Windows 7 or 10 and easily switch between them with a click in a popup menu of your taskbar.

The tool is designed for users with two or more monitors who in certain situations would like to quickly change their monitor setup (e.g. enable/disable a TV which is attached to the HDMI port, make an attached TV the primary display to remove tearing switch which monitor is on the left/right...). Along the monitor state and setup the resolution is also saved and restored.

The program works by saving a current monitor setup as configured using the windows control panel to an xml file. Once saved the configuration can be quickly restored at any time. Requires .NET 4.0 Framework to be installed.

The program is quite simple and in an early development stage. It is provided without any warranty. If you accidentally disable all your monitors boot into safe mode to fix the problem.

If you like the program say thanks by clicking the Donation link in the menu!","Categories
Desktop Environment, Systems Administration, Home Theater PC"
"VertrigoServ is a complete free WAMP server allowing PHP development for Windows. It installs Apache 2.4, PHP, MySQL and PhpMyAdmin, both installing and setting up the environment. An uninstaller allows you to remove Vertrigo from hard disc.

Vertrigo is a freeware compilation of free software (under GPL, Apache License). Main aplication has closed source code. For license details please take a look at every single component terms and conditions.VertrigoServ is a complete free WAMP server allowing PHP development for Windows. It installs Apache 2.4, PHP, MySQL and PhpMyAdmin, both installing and setting up the environment. An uninstaller allows you to remove Vertrigo from hard disc.

Vertrigo is a freeware compilation of free software (under GPL, Apache License). Main aplication has closed source code. For license details please take a look at every single component terms and conditions.","Categories
Front-Ends, Database Engines/Servers, Dynamic Content, Site Management, HTTP Servers, Networking"
"BackupPC is a high-performance, enterprise-grade backup system for backing up Linux, WinXX PCs, Macs and laptops to a server's disk. Features include clever pooling of identical files, no client-side software, and a powerful Apache/CGI user interface.BackupPC is a high-performance, enterprise-grade backup system for backing up Linux, WinXX PCs, Macs and laptops to a server's disk. Features include clever pooling of identical files, no client-side software, and a powerful Apache/CGI user interface.","Categories
Backup, Systems Administration, File Systems"
"FOG is a free open-source cloning/imaging solution/rescue suite. FOG can be used to image Windows XP, Vista, Windows 7 and Window 8 PCs using PXE, PartClone, and a Web GUI to tie it together. Includes featues like memory and disk test, disk wipe, av scan & task scheduling.FOG is a free open-source cloning/imaging solution/rescue suite. FOG can be used to image Windows XP, Vista, Windows 7 and Window 8 PCs using PXE, PartClone, and a Web GUI to tie it together. Includes featues like memory and disk test, disk wipe, av scan & task scheduling.","Categories
Backup, Systems Administration, Installation/Setup"
"Alt-F provides a free and open source alternative firmware for the DLINK DNS-320/320L/321/323/325/327L and DNR-322L.

Alt-F has Samba and NFS; supports ext2/3/4, VFAT, NTFS, BTRFS; RAID 0, 1, 5 (with external USB disk) and JBOD; supports up to 8TB disks; rsync, ftp, sftp, ftps, ssh, lpd, DNS and DHCP servers, DDNS, fan and leds control, clean power up and down... and more.

Alt-F also has a set of comprehensive administering web pages, you don't need to use the command line to configure it.

Besides the built-in software, Alt-F also supports additional packages on disk, including ffp and Entware packages, that you can install, update and uninstall using the administering web pages

Alt-F is being developed and tested on a DNS-323-rev-A1/B1, a DNS325-rev-A1, a DNS-320L-rev-A1 and on a DNS-327L-rev-A1 hardware boards. Other models and boards are said to work.

Support Forum: http://groups.google.com/group/alt-f
Homepage: http://sites.google.com/site/altfirmwareAlt-F provides a free and open source alternative firmware for the DLINK DNS-320/320L/321/323/325/327L and DNR-322L.

Alt-F has Samba and NFS; supports ext2/3/4, VFAT, NTFS, BTRFS; RAID 0, 1, 5 (with external USB disk) and JBOD; supports up to 8TB disks; rsync, ftp, sftp, ftps, ssh, lpd, DNS and DHCP servers, DDNS, fan and leds control, clean power up and down... and more.

Alt-F also has a set of comprehensive administering web pages, you don't need to use the command line to configure it.

Besides the built-in software, Alt-F also supports additional packages on disk, including ffp and Entware packages, that you can install, update and uninstall using the administering web pages

Alt-F is being developed and tested on a DNS-323-rev-A1/B1, a DNS325-rev-A1, a DNS-320L-rev-A1 and on a DNS-327L-rev-A1 hardware boards. Other models and boards are said to work.

Support Forum: http://groups.google.com/group/alt-f
Homepage: http://sites.google.com/site/altfirmware","Categories
Storage, Networking, Embedded Systems"
"Screen squid is web-based interface for viewing reports based on Squid proxy server log files. It can be accessed from web-browser through more than 50 reports. No extra files, only DB. All reports generated ""on-the-fly"". And we got personal cabinet for each user/group.Screen squid is web-based interface for viewing reports based on Squid proxy server log files. It can be accessed from web-browser through more than 50 reports. No extra files, only DB. All reports generated ""on-the-fly"". And we got personal cabinet for each user/group.","Categories
Log Analysis, Logging, Proxy Servers"
An Enterprise-Grade Network Management Application Platform that is 100% Free and Open Source Software.An Enterprise-Grade Network Management Application Platform that is 100% Free and Open Source Software.,"Categories
Monitoring, Internet"
"• Designed for Linux and Windows email system administrators, Scrollout F1 is an easy to use, already adjusted email firewall (gateway) offering free anti-spam and anti-virus protection aiming to secure existing email servers, old or new, such as Microsoft Exchange, Lotus Domino, Postfix, Exim, Sendmail, Qmail and others.

• Built-in multilayer security levels make configuration effort equal to a car radio.

• It combines simplicity with effective protection using powerful open source with additional set of rules & filters.

• Available as 64bit:
- ISO image (Internet connection required during installation)
- install from scratch (Internet connection required during installation).

• Minimum Requirements (for 5,000 messages/day):
1 GB of RAM
30 GB storage drive
1 Processor x86/AMD64
1 Ethernet x 1 IPv4 address
UDP ports: 53 123 4500 6277 24441
TCP ports: 25 80 443 2703• Designed for Linux and Windows email system administrators, Scrollout F1 is an easy to use, already adjusted email firewall (gateway) offering free anti-spam and anti-virus protection aiming to secure existing email servers, old or new, such as Microsoft Exchange, Lotus Domino, Postfix, Exim, Sendmail, Qmail and others.

• Built-in multilayer security levels make configuration effort equal to a car radio.

• It combines simplicity with effective protection using powerful open source with additional set of rules & filters.

• Available as 64bit:
- ISO image (Internet connection required during installation)
- install from scratch (Internet connection required during installation).

• Minimum Requirements (for 5,000 messages/day):
1 GB of RAM
30 GB storage drive
1 Processor x86/AMD64
1 Ethernet x 1 IPv4 address
UDP ports: 53 123 4500 6277 24441
TCP ports: 25 80 443 2703","Categories
Email Spam Filter, Networking, Anti-Spam"
"Nagios network monitoring software is a powerful, enterprise-class host, server, application, and network monitoring tools. Designed to be fast, flexible, and rock-solid stable. Nagios runs on *NIX hosts and can monitor Windows, Linux/Unix/BSD, Netware, and network devices.Nagios network monitoring software is a powerful, enterprise-class host, server, application, and network monitoring tools. Designed to be fast, flexible, and rock-solid stable. Nagios runs on *NIX hosts and can monitor Windows, Linux/Unix/BSD, Netware, and network devices.","Categories
Enterprise, Systems Administration, Monitoring"
"FreeFileSync is a free Open Source software that helps you synchronize files and synchronize folders for Windows, Linux and macOS. It is designed to save your time setting up and running data backups while having nice visual feedback along the way.
_______________________________________________________________
DOWNLOAD LINKS (official homepage): https://freefilesync.org/FreeFileSync is a free Open Source software that helps you synchronize files and synchronize folders for Windows, Linux and macOS. It is designed to save your time setting up and running data backups while having nice visual feedback along the way.
_______________________________________________________________
DOWNLOAD LINKS (official homepage): https://freefilesync.org/","Categories
File Transfer Protocol (FTP), File Managers, Backup, FTP Clients"
"Find the next step in your career. Find and apply for remote jobs and jobs in your area using the Slashdot Job Board. Browse by job, company, location, and more.Project Samples","Categories
ROMs"
"Build, Design and Test your network in a risk-free virtual environment and access the largest networking community to help. Whether you are studying for your first networking exam or building out a state-wide telecommunications network, GNS3 offers an easy way to design and build networks of any size without the need for hardware.Build, Design and Test your network in a risk-free virtual environment and access the largest networking community to help. Whether you are studying for your first networking exam or building out a state-wide telecommunications network, GNS3 offers an easy way to design and build networks of any size without the need for hardware.","Categories
Emulators, Networking, Simulation"
"Launchy is a free utility designed to help you forget about your start menu, your desktop icons, and your file manager. Launchy indexes and launches your applications, documents, project files, folders, and bookmarks with just a few keystrokes!Launchy is a free utility designed to help you forget about your start menu, your desktop icons, and your file manager. Launchy indexes and launches your applications, documents, project files, folders, and bookmarks with just a few keystrokes!","Categories
Other/Nonlisted Topic, Desktop Environment, Search"
