Description,Category
"PostfixAdmin is a Web Based Management tool created for Postfix. It is a PHP based application that handles Postfix Style Virtual Domains and Users that are stored in MySQL, PostgreSQL or SQLitePostfixAdmin is a Web Based Management tool created for Postfix. It is a PHP based application that handles Postfix Style Virtual Domains and Users that are stored in MySQL, PostgreSQL or SQLite","Categories
Email, Systems Administration, Email Servers"
"p7zip is a quick port of 7z.exe and 7za.exe (command line version of 7zip, see www.7-zip.org) for Unix.
7-Zip is a file archiver with highest compression ratio.
Since 4.10, p7zip (like 7-zip) supports little-endian and big-endian machines.p7zip is a quick port of 7z.exe and 7za.exe (command line version of 7zip, see www.7-zip.org) for Unix.
7-Zip is a file archiver with highest compression ratio.
Since 4.10, p7zip (like 7-zip) supports little-endian and big-endian machines.","Categories
File Compression, Backup, Application Packaging, File Archivers"
"winPenPack is a project that aims at collecting the most frequently used and most popular open source applications made portable, so that they can be executed without installation from any USB Flash Drive or Hard Disk. The winPenPack suites offer a wide range of portable applications like office tools, internet tools, multimedia tools, development tools, security applications and other frequently used utilities. Everything you need, completely free, open source and portable!winPenPack is a project that aims at collecting the most frequently used and most popular open source applications made portable, so that they can be executed without installation from any USB Flash Drive or Hard Disk. The winPenPack suites offer a wide range of portable applications like office tools, internet tools, multimedia tools, development tools, security applications and other frequently used utilities. Everything you need, completely free, open source and portable!","Categories
Communications, Office Suites, Security, System, Internet, Graphics"
"Tools for Windows users with dual or multiple monitors. Has hotkeys for moving windows around, restrict mouse/cursor movement between screens, application launcher, wallpaper creator and changer and a screen capture tool.Tools for Windows users with dual or multiple monitors. Has hotkeys for moving windows around, restrict mouse/cursor movement between screens, application launcher, wallpaper creator and changer and a screen capture tool.","Categories
Desktop Environment, System"
"DeSmuME is the most seasoned open source Nintendo DS emulator. It sports tools designed for hackers, speedrunners, youtubers, and casual gamers. Homebrew programs are supported and can even be debugged through GDB.

The Windows and OSX versions are both relatively feature rich, and there is a small universe of forks and mods that add even more features for casual gaming.

DeSmuME is the origin of RetroArch and OpenEmu Nintendo DS support and is used by several mobile Nintendo DS emulators, with the notable exception of DraStic.

DeSmuME's source code is now hosted at https://github.com/TASVideos/desmume/

win32 autobuilds @ https://ci.appveyor.com/project/zeromus/desmume/build/artifactsDeSmuME is the most seasoned open source Nintendo DS emulator. It sports tools designed for hackers, speedrunners, youtubers, and casual gamers. Homebrew programs are supported and can even be debugged through GDB.

The Windows and OSX versions are both relatively feature rich, and there is a small universe of forks and mods that add even more features for casual gaming.

DeSmuME is the origin of RetroArch and OpenEmu Nintendo DS support and is used by several mobile Nintendo DS emulators, with the notable exception of DraStic.

DeSmuME's source code is now hosted at https://github.com/TASVideos/desmume/

win32 autobuilds @ https://ci.appveyor.com/project/zeromus/desmume/build/artifacts","Categories
Games/Entertainment, Emulators"
"Rufus is a standalone app designed to format and create a bootable USB drive for a large variety of ISOs. The app is just over 1MB in size and is notably faster than similar competitor apps such as the Windows 7 USB utility, Universal USB Installer, and UNetbootin.

Rufus can come in handy when you need to simply format a USB drive, install an OS on a machine that lacks a CD/DVD-ROM drive, or when you need to boot an operating system temporarily without intentions of actually installing the media. This can be immensely useful while you're on the go or just need access to an OS for a temporary, isolated reason. The app can even be used to flash firmware to BIOS or other destinations by just using DOS.

Even though Rufus is a tiny utility in comparison to other USB creation tools that can be rather bulky in size, it contends easily with the competition and creates bootable USB drives in record time!Rufus is a standalone app designed to format and create a bootable USB drive for a large variety of ISOs. The app is just over 1MB in size and is notably faster than similar competitor apps such as the Windows 7 USB utility, Universal USB Installer, and UNetbootin.

Rufus can come in handy when you need to simply format a USB drive, install an OS on a machine that lacks a CD/DVD-ROM drive, or when you need to boot an operating system temporarily without intentions of actually installing the media. This can be immensely useful while you're on the go or just need access to an OS for a temporary, isolated reason. The app can even be used to flash firmware to BIOS or other destinations by just using DOS.

Even though Rufus is a tiny utility in comparison to other USB creation tools that can be rather bulky in size, it contends easily with the competition and creates bootable USB drives in record time!","Categories
System, OS distribution"
"Rockstor is a Network Attached Storage (NAS) and private cloud storage solution based on advanced Linux technologies like BTRFS, Docker and others. In addition to standard NAS features like file sharing via NFS, Samba, SFTP and AFP, advanced features such as online volume management, CoW Snapshots, asynchronous replication, compression, and bitrot protection are supported based on BTRFS.

Rockstor also provides apps like ownCloud, Syncthing, OpenVPN, and Plex to name a few. Apps or ""Rock-ons"" are powered by a Docker-based application hosting framework. And new ones can be simply added. These Rock-ons, combined with advanced NAS features, turn Rockstor into a private cloud storage solution accessible from anywhere, giving users complete control of cost, ownership, privacy and data security.

Rockstor UI is written in Javascript, making it simple to manage everything from your Web browser. The backend is written in Python and exposes RESTful APIs to easily extend functionality!Rockstor is a Network Attached Storage (NAS) and private cloud storage solution based on advanced Linux technologies like BTRFS, Docker and others. In addition to standard NAS features like file sharing via NFS, Samba, SFTP and AFP, advanced features such as online volume management, CoW Snapshots, asynchronous replication, compression, and bitrot protection are supported based on BTRFS.

Rockstor also provides apps like ownCloud, Syncthing, OpenVPN, and Plex to name a few. Apps or ""Rock-ons"" are powered by a Docker-based application hosting framework. And new ones can be simply added. These Rock-ons, combined with advanced NAS features, turn Rockstor into a private cloud storage solution accessible from anywhere, giving users complete control of cost, ownership, privacy and data security.

Rockstor UI is written in Javascript, making it simple to manage everything from your Web browser. The backend is written in Python and exposes RESTful APIs to easily extend functionality!","Categories
Storage, File Managers, Backup"
"The tool is designed for IT Professionals to troubleshoot SMS/SCCM Client related Issues. The SCCM Client Center provides a quick and easy overview of client settings, including running services and SCCM settings in a good easy to use, user interface. Project has moved to: https://sccmclictr.codeplex.com/The tool is designed for IT Professionals to troubleshoot SMS/SCCM Client related Issues. The SCCM Client Center provides a quick and easy overview of client settings, including running services and SCCM settings in a good easy to use, user interface. Project has moved to: https://sccmclictr.codeplex.com/","Categories
Software Distribution, Systems Administration"
"JSmooth creates standard Windows executable files (.exe) that smartly launch java applications. It makes java deployment much smoother and user-friendly, as it is able to find and run Java VMs by itself, or help the user get one if none are available.JSmooth creates standard Windows executable files (.exe) that smartly launch java applications. It makes java deployment much smoother and user-friendly, as it is able to find and run Java VMs by itself, or help the user get one if none are available.","Categories
Build Tools, Compilers, Software Distribution, Installation/Setup"
"Ettercap is a multipurpose sniffer/interceptor/logger for switched LAN.
It supports active and passive dissection of many protocols (even ciphered ones) and includes many feature for network and host analysis. Development has been moved to GitHub, https://github.com/Ettercap/ettercapEttercap is a multipurpose sniffer/interceptor/logger for switched LAN.
It supports active and passive dissection of many protocols (even ciphered ones) and includes many feature for network and host analysis. Development has been moved to GitHub, https://github.com/Ettercap/ettercap","Categories
Security, Monitoring, Logging"
"Apcupsd is a program for monitoring UPSes and performing a graceful computer shutdown in the event of a power failure. It runs on Linux, Mac OS/X, Win32, BSD, Solaris, and other OSes.Apcupsd is a program for monitoring UPSes and performing a graceful computer shutdown in the event of a power failure. It runs on Linux, Mac OS/X, Win32, BSD, Solaris, and other OSes.","Categories
Systems Administration, Battery Monitoring"
"The archive-crawler project is building Heritrix: a flexible, extensible, robust, and scalable web crawler capable of fetching, archiving, and analyzing the full diversity and breadth of internet-accesible content.The archive-crawler project is building Heritrix: a flexible, extensible, robust, and scalable web crawler capable of fetching, archiving, and analyzing the full diversity and breadth of internet-accesible content.","Categories
WWW/HTTP, Library, Archiving"
"Bochs is a portable x86 PC emulation software package that emulates enough of the x86 CPU, related AT hardware, and BIOS to run Windows, Linux, *BSD, Minix, and other OS's, all on your workstation.Bochs is a portable x86 PC emulation software package that emulates enough of the x86 CPU, related AT hardware, and BIOS to run Windows, Linux, *BSD, Minix, and other OS's, all on your workstation.","Categories
Emulators"
"Clonezilla is a partition and disk imaging/cloning program similar to True Image®. It saves and restores only used blocks in hard drive. Two types of Clonezilla are available, Clonezilla live and Clonezilla SE (Server Edition).Clonezilla is a partition and disk imaging/cloning program similar to True Image®. It saves and restores only used blocks in hard drive. Two types of Clonezilla are available, Clonezilla live and Clonezilla SE (Server Edition).","Categories
Backup, Systems Administration, Installation/Setup, Disk Cloning, Disk Imaging"
"PHP Server Monitor is a script that checks whether your websites and servers are up and running. It comes with a web based user interface where you can manage your services and websites, and you can manage users for each server with a mobile number and email address.

For services a connection will be made to the entered ip or domain, on the given port. This way you can check if certain services on your machine are still running. To check your IMAP service for example, enter port 143.

For websites you can enter a link and it will check the HTTP status code. If the HTTP status code is in the 4xx range or a timeout, it means an error occurred and the tool will start sending out notifications. You can also set a regular expression to match for content on the page itself.

Each server has its own settings regarding notification. You can choose for email, text message (SMS) and Pushover.net notifications.

For more info please visit http://www.phpservermonitor.orgPHP Server Monitor is a script that checks whether your websites and servers are up and running. It comes with a web based user interface where you can manage your services and websites, and you can manage users for each server with a mobile number and email address.

For services a connection will be made to the entered ip or domain, on the given port. This way you can check if certain services on your machine are still running. To check your IMAP service for example, enter port 143.

For websites you can enter a link and it will check the HTTP status code. If the HTTP status code is in the 4xx range or a timeout, it means an error occurred and the tool will start sending out notifications. You can also set a regular expression to match for content on the page itself.

Each server has its own settings regarding notification. You can choose for email, text message (SMS) and Pushover.net notifications.

For more info please visit http://www.phpservermonitor.org","Categories
Link Checking, Monitoring"
"Racktables is a nifty and robust solution for datacenter and server room asset management. It helps document hardware assets, network addresses, space in racks, networks configuration and much much more!Racktables is a nifty and robust solution for datacenter and server room asset management. It helps document hardware assets, network addresses, space in racks, networks configuration and much much more!","Categories
Front-Ends, Systems Administration, Networking"
"htop is an interactive text-mode process viewer for Linux. It aims to be a better 'top'.

http://hisham.hm/htophtop is an interactive text-mode process viewer for Linux. It aims to be a better 'top'.

http://hisham.hm/htop","Categories
Systems Administration"
"Zenoss provides software-defined IT operations for the world’s largest organizations. We deliver the ultimate level of IT service health with simplicity by providing the most granular and intelligent IT service modeling possible, at any scale, and sharing these unique insights with other IT operations management (ITOM) tools to make them more efficient.

Zenoss Community Edition is not a “demo” or trial version of Zenoss Enterprise or Zenoss Cloud! Before You install Zenoss Community Edition, check out Zenoss Cloud, our new Saas-based platform for intelligent IT operations management, designed for enterprise hybrid IT environments.

https://www.zenoss.com/product/zenoss-cloud-it-operations-management

Zenoss Cloud extends your monitoring capabilities well beyond those available in our Community Edition. View the differences here:

https://www.zenoss.com/get-started

Features of Zenoss Cloud include:Zenoss provides software-defined IT operations for the world’s largest organizations. We deliver the ultimate level of IT service health with simplicity by providing the most granular and intelligent IT service modeling possible, at any scale, and sharing these unique insights with other IT operations management (ITOM) tools to make them more efficient.

Zenoss Community Edition is not a “demo” or trial version of Zenoss Enterprise or Zenoss Cloud! Before You install Zenoss Community Edition, check out Zenoss Cloud, our new Saas-based platform for intelligent IT operations management, designed for enterprise hybrid IT environments.

https://www.zenoss.com/product/zenoss-cloud-it-operations-management

Zenoss Cloud extends your monitoring capabilities well beyond those available in our Community Edition. View the differences here:

https://www.zenoss.com/get-started

Features of Zenoss Cloud include:","Categories
Enterprise, Monitoring, Cloud Services"
"Salix is a linux distribution based on Slackware that is simple and easy to use. Salix aims to be completely backwards compatible with Slackware, so Slackware users can benefit from Salix repositories.Salix is a linux distribution based on Slackware that is simple and easy to use. Salix aims to be completely backwards compatible with Slackware, so Slackware users can benefit from Salix repositories.","Categories
OS distribution"
SnapRAID is a backup program for disk arrays. It stores parity information of your data and it recovers from up to six disk failures.SnapRAID is a backup program for disk arrays. It stores parity information of your data and it recovers from up to six disk failures.,"Categories
Backup, Home Theater PC"
"The Sleuth Kit is a C++ library and collection of open source file system forensics tools that allow you to, among other things, view allocated and deleted data from NTFS, FAT, FFS, EXT2, Ext3, HFS+, and ISO9660 images.The Sleuth Kit is a C++ library and collection of open source file system forensics tools that allow you to, among other things, view allocated and deleted data from NTFS, FAT, FFS, EXT2, Ext3, HFS+, and ISO9660 images.","Categories
Security, File Systems"
"ChibiOS/RT is a free and efficient RTOS designed for deeply embedded applications. It offers a comprehensive set of kernel primitives and supports many architectures: ARM7, Cortex-M0, Cortex-M3, Cortex-M4, PowerPC e200z, STM8, AVR, MSP430, ColdFire, H8S, x86.ChibiOS/RT is a free and efficient RTOS designed for deeply embedded applications. It offers a comprehensive set of kernel primitives and supports many architectures: ARM7, Cortex-M0, Cortex-M3, Cortex-M4, PowerPC e200z, STM8, AVR, MSP430, ColdFire, H8S, x86.","Categories
Software Development, Operating System Kernels, Embedded Systems"
"Note: This project is no longer maintained on Sourceforge. Information here has mostly been left for historical purposes. PLEASE REFER TO THE OFFICIAL PROJECT PAGE AT https://github.com/phppgadmin. Thank You!

phpPgAdmin is a fully functional web-based administration utility for a PostgreSQL database server. It handles all the basic functionality as well as some advanced features such as triggers, views, and functions (stored procs)Note: This project is no longer maintained on Sourceforge. Information here has mostly been left for historical purposes. PLEASE REFER TO THE OFFICIAL PROJECT PAGE AT https://github.com/phppgadmin. Thank You!

phpPgAdmin is a fully functional web-based administration utility for a PostgreSQL database server. It handles all the basic functionality as well as some advanced features such as triggers, views, and functions (stored procs)","Categories
Front-Ends, Dynamic Content, Systems Administration"
Extundelete is a utility to undelete files from an ext3 or ext4 partition.Extundelete is a utility to undelete files from an ext3 or ext4 partition.,"Categories
File Systems, Data Recovery"
"This project has moved to http://wixtoolset.org.

The WiX toolset is a set of tools that builds Windows installation packages from text source code. The toolset supports a command line environment that developers may integrate into their build processes to build setup packages for the Windows platform.This project has moved to http://wixtoolset.org.

The WiX toolset is a set of tools that builds Windows installation packages from text source code. The toolset supports a command line environment that developers may integrate into their build processes to build setup packages for the Windows platform.","Categories
Compilers, Installation/Setup"
"MX Linux is a cooperative venture between the antiX and MX Linux communities. It is a family of operating systems that are designed to combine elegant and efficient desktops with high stability and solid performance. MX’s graphical tools provide an easy way to do a wide variety of tasks, while the Live USB and snapshot tools inherited from antiX add impressive portability and remastering capabilities. Extensive support is available through videos, documentation and a very friendly Forum.MX Linux is a cooperative venture between the antiX and MX Linux communities. It is a family of operating systems that are designed to combine elegant and efficient desktops with high stability and solid performance. MX’s graphical tools provide an easy way to do a wide variety of tasks, while the Live USB and snapshot tools inherited from antiX add impressive portability and remastering capabilities. Extensive support is available through videos, documentation and a very friendly Forum.","Categories
OS distribution, Live CD"
"crDroid is a free Android based ROM, bringing a lot of features that are most advanced in terms of customization and stability!crDroid is a free Android based ROM, bringing a lot of features that are most advanced in terms of customization and stability!","Categories
OS distribution, ROMs"
"Efficient Client-Server Backup system for Linux, macOS and Windows. A client for Windows, FreeBSD and Linux lets you backup open files and complete partition images (Windows). Backups are stored to disks in a efficient way (deduplication) on either Windows or Linux servers.Efficient Client-Server Backup system for Linux, macOS and Windows. A client for Windows, FreeBSD and Linux lets you backup open files and complete partition images (Windows). Backups are stored to disks in a efficient way (deduplication) on either Windows or Linux servers.","Categories
Backup"
Local Update Publisher allows system administrators to publish their own updates to Windows Server Update Services using WSUS local publishing.Local Update Publisher allows system administrators to publish their own updates to Windows Server Update Services using WSUS local publishing.,"Categories
Software Distribution"
Yabause is a portable Sega Saturn emulator.Yabause is a portable Sega Saturn emulator.,"Categories
Games/Entertainment, Console Games, Emulators"
HTB.init is a shell script derived from CBQ.init that allows for easy setup of HTB-based traffic control on Linux. HTB (Hierachical Token Bucket) is a new queueing discipline which attempts to address the weaknesses of current CBQ implementation.HTB.init is a shell script derived from CBQ.init that allows for easy setup of HTB-based traffic control on Linux. HTB (Hierachical Token Bucket) is a new queueing discipline which attempts to address the weaknesses of current CBQ implementation.,"Categories
Networking, Internet"
"Migrated to GitHub

We have migrated our main development to GitHub: https://github.com/icinga

Downloads have been moved: http://www.icinga.org/download/ for detailsMigrated to GitHub

We have migrated our main development to GitHub: https://github.com/icinga

Downloads have been moved: http://www.icinga.org/download/ for details","Categories
Monitoring"
ClusterSSH controls a number of xterm windows via a single graphical console window to allow commands to be interactively run on multiple servers over an ssh connection.ClusterSSH controls a number of xterm windows via a single graphical console window to allow commands to be interactively run on multiple servers over an ssh connection.,"Categories
Terminal Emulators, Systems Administration, Installation/Setup, Clustering"
http://processpriority.wiki.sourceforge.net/http://processpriority.wiki.sourceforge.net/,"Categories
Software Development, System Shells, Multimedia"
"Fink brings the full world of Unix Open Source software to Darwin and macOS. Packages are downloaded and built automatically and installed into a tree managed by dpkg, all with full dependency tracking.Fink brings the full world of Unix Open Source software to Darwin and macOS. Packages are downloaded and built automatically and installed into a tree managed by dpkg, all with full dependency tracking.","Categories
Software Distribution, Installation/Setup"
"This project contains the Linux kernel drivers for all Intel(R) Ethernet adapters and LOMs (LAN On Motherboard). To learn more about Intel Ethernet visit http://communities.intel.com/community/tech/wired

Mailing list for out-of-tree Support:
e1000-devel@lists.sourceforge.net

Mailing list for in-kernel Support:
intel-wired-lan@lists.osuosl.orgThis project contains the Linux kernel drivers for all Intel(R) Ethernet adapters and LOMs (LAN On Motherboard). To learn more about Intel Ethernet visit http://communities.intel.com/community/tech/wired

Mailing list for out-of-tree Support:
e1000-devel@lists.sourceforge.net

Mailing list for in-kernel Support:
intel-wired-lan@lists.osuosl.org","Categories
Dynamic Content, Networking, Operating System Kernels, Hardware Drivers"
"OpenSearchServer is a powerful, enterprise-class, search engine program. Using the web user interface, the crawlers (web, file, database, etc.) and the client libraries (REST/API , Ruby, Rails, Node.js, PHP, Perl) you will be able to integrate quickly and easily advanced full-text search capabilities in your application: Full-text with basic semantic, join queries, boolean queries, facet and filter, document (PDF, Office, etc.) indexation, web scrapping,etc. OpenSearchServer runs on Windows and Linux/Unix/BSD.OpenSearchServer is a powerful, enterprise-class, search engine program. Using the web user interface, the crawlers (web, file, database, etc.) and the client libraries (REST/API , Ruby, Rails, Node.js, PHP, Perl) you will be able to integrate quickly and easily advanced full-text search capabilities in your application: Full-text with basic semantic, join queries, boolean queries, facet and filter, document (PDF, Office, etc.) indexation, web scrapping,etc. OpenSearchServer runs on Windows and Linux/Unix/BSD.","Categories
Enterprise, Search Engines, Search"
"ZSNES is a SNES/Super Famicom emulator for x86 computers. It runs on Windows, MS-DOS and Linux/FreeBSD and supports mode 7, sound, Super FX, and a lot more.ZSNES is a SNES/Super Famicom emulator for x86 computers. It runs on Windows, MS-DOS and Linux/FreeBSD and supports mode 7, sound, Super FX, and a lot more.","Categories
Games/Entertainment, Emulators"
"A full-fledged autoclicker with two modes of autoclicking, at your dynamic cursor location or at a prespecified location. The maximum amounts of clicked can also be set (or left as infinite).

Hotkeys work in the background for convenience.

If you want to automate group of mouse actions, Please try this https://sourceforge.net/projects/orphamielautoclicker/files/AutoClickers.exe/download

Whats new in v1.0.0.2:
1. You can now change your hotkeys!
2. Changed the about page
3. Added a few minor options

v1.0.0.1 :
1. Your settings are now saved from your last session so you only need to enter them once. (Includes last fixed location)
2. Added double clicking and triple clicking
3. Added Right clicking and middle clickingA full-fledged autoclicker with two modes of autoclicking, at your dynamic cursor location or at a prespecified location. The maximum amounts of clicked can also be set (or left as infinite).

Hotkeys work in the background for convenience.

If you want to automate group of mouse actions, Please try this https://sourceforge.net/projects/orphamielautoclicker/files/AutoClickers.exe/download

Whats new in v1.0.0.2:
1. You can now change your hotkeys!
2. Changed the about page
3. Added a few minor options

v1.0.0.1 :
1. Your settings are now saved from your last session so you only need to enter them once. (Includes last fixed location)
2. Added double clicking and triple clicking
3. Added Right clicking and middle clicking","Categories
Professional Services Automation, Auto Clicker"
"Network Spoofer lets you change websites on other people’s computers from an Android phone. After downloading simply log onto a Wifi network, choose a spoof to use and press start.
Please note that there is no intention for Network Spoofer to include any malicious features. This application is a fun demonstration of how vulnerable home networks are to simple attacks, with permission of the network owner - DO NOT attempt to use Network Spoofer on any corporate or other non-residential networks (eg. at school, university). It becomes very obvious when Network Spoofer is being used on a Network, and use of Network Spoofer will be considered malicious hacking by network administrators.

Available on the Android Market.Network Spoofer lets you change websites on other people’s computers from an Android phone. After downloading simply log onto a Wifi network, choose a spoof to use and press start.
Please note that there is no intention for Network Spoofer to include any malicious features. This application is a fun demonstration of how vulnerable home networks are to simple attacks, with permission of the network owner - DO NOT attempt to use Network Spoofer on any corporate or other non-residential networks (eg. at school, university). It becomes very obvious when Network Spoofer is being used on a Network, and use of Network Spoofer will be considered malicious hacking by network administrators.

Available on the Android Market.","Categories
WWW/HTTP, Networking"
"This project now hosts the third-generation of Java SSH API, Maverick Synergy. This API builds on the Maverick Legacy commercial APIs and delivers a new API in a unified client/server framework. This API is available to the community under the LGPL open source license.

This update includes ed25519 support, support for the new OpenSSH private key file format and stronger key exchange algorithms.

The project continues to host both the original API and legacy applications created around it, however, these are now considered deprecated and we do not recommend their use in anyway.This project now hosts the third-generation of Java SSH API, Maverick Synergy. This API builds on the Maverick Legacy commercial APIs and delivers a new API in a unified client/server framework. This API is available to the community under the LGPL open source license.

This update includes ed25519 support, support for the new OpenSSH private key file format and stronger key exchange algorithms.

The project continues to host both the original API and legacy applications created around it, however, these are now considered deprecated and we do not recommend their use in anyway.","Categories
Terminals, Security, Software Development, Systems Administration, Networking, Internet"
FLAC is a free lossless compressed audio format which supports streaming and archival. The FLAC project maintains the format and provides a reference encoder/decoder and input plugins for several popular audio players.FLAC is a free lossless compressed audio format which supports streaming and archival. The FLAC project maintains the format and provides a reference encoder/decoder and input plugins for several popular audio players.,"Categories
Data Formats, File Compression, Audio Conversion, CD Audio"
