Description,Category
"PDF MERGER is the fast and powerful way to Merge PDF files with password protection as well as you can apply stamper with either any type of image or text. Using this utility you don’t required installation of Adobe Acrobat.

FEATURES:

Merge as many PDF files in single PDF file.
Add a page or several pages to an existing PDF file.
Generate new page number for generated every pages. you have set of options to show page number at any positions.
Standalone software, Adobe Acrobat and Reader NOT required!
Simpler and more usable.
Easy to use.
Add password to prevent unauthorized opening or printing.
Protect content with Copyright, Trademark, License or Watermark either text or image.PDF MERGER is the fast and powerful way to Merge PDF files with password protection as well as you can apply stamper with either any type of image or text. Using this utility you don’t required installation of Adobe Acrobat.

FEATURES:

Merge as many PDF files in single PDF file.
Add a page or several pages to an existing PDF file.
Generate new page number for generated every pages. you have set of options to show page number at any positions.
Standalone software, Adobe Acrobat and Reader NOT required!
Simpler and more usable.
Easy to use.
Add password to prevent unauthorized opening or printing.
Protect content with Copyright, Trademark, License or Watermark either text or image.","Categories
Other/Nonlisted Topic, PDF Merge"
"JaNaG is a Java random name generator for role-games, authors, and the like. It is based on a name fragment database that creates relatively reasonably sounding names. It can run as applet, GUI appliance, command line tool, or on a server-client basis.JaNaG is a Java random name generator for role-games, authors, and the like. It is based on a name fragment database that creates relatively reasonably sounding names. It can run as applet, GUI appliance, command line tool, or on a server-client basis.","Categories
Other/Nonlisted Topic, Role-Playing Games (RPG), Algorithms"
"RoboJournal is a cross-platform journal/diary tool written in Qt/C++. Right now, RoboJournal only supports MySQL but support for SQLite (and possibly Postgres) will be added in future releases. RoboJournal runs on Windows and Linux.

I would like to eventually support RoboJournal on OSX but unfortunately I have no reliable way to build or maintain a Mac version right now.RoboJournal is a cross-platform journal/diary tool written in Qt/C++. Right now, RoboJournal only supports MySQL but support for SQLite (and possibly Postgres) will be added in future releases. RoboJournal runs on Windows and Linux.

I would like to eventually support RoboJournal on OSX but unfortunately I have no reliable way to build or maintain a Mac version right now.","Categories
Other/Nonlisted Topic, Front-Ends, Sociology"
"LibreOffice is a free and powerful office suite. Word processor, spreadsheet, presentations, diagrams, databases, formula editors, charts, and more. Compatible with Windows, Mac, and Linux.License
Other License","Categories
Other/Nonlisted Topic"
"Zootnix is currently a set of tagfiles, 3rd party packages & installation scripts for Slackware64 13.37.

The desktop version includes; Openbox, PCManFM, MPlayer, Audacious, FireFox, Wicd, etc. and aims to be an out of the box mod for Slackware64.Zootnix is currently a set of tagfiles, 3rd party packages & installation scripts for Slackware64 13.37.

The desktop version includes; Openbox, PCManFM, MPlayer, Audacious, FireFox, Wicd, etc. and aims to be an out of the box mod for Slackware64.","Categories
Other/Nonlisted Topic, Software Distribution, Installation/Setup"
"Simple Forum Auto Poster is a program that automatically posts messages to forums. This program is for people active on multiple forums, but don't want to type and copy/paste the same message multiple times.Simple Forum Auto Poster is a program that automatically posts messages to forums. This program is for people active on multiple forums, but don't want to type and copy/paste the same message multiple times.","Categories
BBS, Other/Nonlisted Topic"
"Find the next step in your career. Find and apply for remote jobs and jobs in your area using the Slashdot Job Board. Browse by job, company, location, and more.Features
Encryption
eMail
Communications
Secret","Categories
Conferencing, Other/Nonlisted Topic"
"This is a web browser-based tracking tool. It helps you keep track of warranties of each piece of your products issued to your clients. Ideal for B2B and B2C businesses. Eg: sellers of hardware, electronics, machine parts, tools, etc.This is a web browser-based tracking tool. It helps you keep track of warranties of each piece of your products issued to your clients. Ideal for B2B and B2C businesses. Eg: sellers of hardware, electronics, machine parts, tools, etc.","Categories
Other/Nonlisted Topic, ERP, Office Suites"
Sticky Royale is a sticky note program written in Java. Sticky Royale allows users to create a helpful amount of sticky notes for their desktop to help with remembering tasks that must be done during the day. Why? ...because lists mean happiness.Sticky Royale is a sticky note program written in Java. Sticky Royale allows users to create a helpful amount of sticky notes for their desktop to help with remembering tasks that must be done during the day. Why? ...because lists mean happiness.,"Categories
Text Editors, Other/Nonlisted Topic, To-Do Lists"
An alarm clock program that I made to keep track of how long I exercise. It can count up or down and can run on Windows or Linux. It uses SDL. Easy to compile for Mac. This is a production of Oh! Poop! Productions!An alarm clock program that I made to keep track of how long I exercise. It can count up or down and can run on Windows or Linux. It uses SDL. Easy to compile for Mac. This is a production of Oh! Poop! Productions!,"Categories
Other/Nonlisted Topic"
"""Traveling through the country, passing from one gathering to another, he gave *constant encouragement*, lifting their spirits and charging them with fresh hope."" -Acts 20:2 (MSG) Periodically pops up Bible verses to provide constant encouragement.""Traveling through the country, passing from one gathering to another, he gave *constant encouragement*, lifting their spirits and charging them with fresh hope."" -Acts 20:2 (MSG) Periodically pops up Bible verses to provide constant encouragement.","Categories
Other/Nonlisted Topic, Religion and Philosophy"
"A simple PDF splitter that uses PDFSharp. You can split, merge, create or convert PDF files to text. Passing meta-data to newly created chunks is possible. Naming options, like adding date or adding index number are available.A simple PDF splitter that uses PDFSharp. You can split, merge, create or convert PDF files to text. Passing meta-data to newly created chunks is possible. Naming options, like adding date or adding index number are available.","Categories
Other/Nonlisted Topic, PDF Merge, PDF Splitters"
"Simple Quote Screensaver is a simple lightweight screensaver for Windows.
It displays random quotes from a quotes file, fading each quote in and out.Simple Quote Screensaver is a simple lightweight screensaver for Windows.
It displays random quotes from a quotes file, fading each quote in and out.","Categories
Other/Nonlisted Topic"
"A PHP-based web storage system, providing a web interface for users to upload, download, share and edit files, all via their browser. Includes thumbnails for images, multiple database support, skinning support, directory support and much more.A PHP-based web storage system, providing a web interface for users to upload, download, share and edit files, all via their browser. Includes thumbnails for images, multiple database support, skinning support, directory support and much more.","Categories
Other/Nonlisted Topic, Dynamic Content, Site Management"
"A desktop diary application. It implements a calendar for multiple daily annotations with binary attachments, details list, internal links, advanced search tool, CSV, XML and HTML reports, HTML note editor, encrypted data storage and password access.A desktop diary application. It implements a calendar for multiple daily annotations with binary attachments, details list, internal links, advanced search tool, CSV, XML and HTML reports, HTML note editor, encrypted data storage and password access.","Categories
Other/Nonlisted Topic"
"'Serbian Dictionary' is a bidirectional Serbian-English dictionary. It currently contains only a command line interface. Supports only *nix based operating systems at this moment. Tested on Linux, *BSD and Cygwin.'Serbian Dictionary' is a bidirectional Serbian-English dictionary. It currently contains only a command line interface. Supports only *nix based operating systems at this moment. Tested on Linux, *BSD and Cygwin.","Categories
Other/Nonlisted Topic, Languages, Dictionary"
"Perl Nopaste is a Nopaste software written in Perl and with MySQL as backend. It includes features like Syntax Highlighting for more than 20 languages, Badword and Badhost with hitrate, language detection and translation, expiring function, direct doPerl Nopaste is a Nopaste software written in Perl and with MySQL as backend. It includes features like Syntax Highlighting for more than 20 languages, Badword and Badhost with hitrate, language detection and translation, expiring function, direct do","Categories
Other/Nonlisted Topic, CGI Scripts"
ISPware es un sistema de administración de usuarios. Utiliza las ventajas del AJAX para evitar las demoras en la carga de paginas HTML. Escrito en PHP y utilizando MySQL como base de datos hace que sea muy fácil de instalar bajo cualquier plataforma.ISPware es un sistema de administración de usuarios. Utiliza las ventajas del AJAX para evitar las demoras en la carga de paginas HTML. Escrito en PHP y utilizando MySQL como base de datos hace que sea muy fácil de instalar bajo cualquier plataforma.,"Categories
Other/Nonlisted Topic"
"Program suite for model railroaders, mainly to support operation on modular railroad setups, features model time clock, computer based train dispatching and moreProgram suite for model railroaders, mainly to support operation on modular railroad setups, features model time clock, computer based train dispatching and more","Categories
Other/Nonlisted Topic"
Java library for accessing pen/digitizer tablets and pointing devices. JPen project site has moved to http://github.com/nicarran/jpen .Java library for accessing pen/digitizer tablets and pointing devices. JPen project site has moved to http://github.com/nicarran/jpen .,"Categories
Other/Nonlisted Topic, Software Development"
"Midori Linux is an Open Source project for delivering system software on small devices. Midori includes a build system, a Linux kernel with memory- and storage-conserving features, and system-level support for running normal Linux software.Midori Linux is an Open Source project for delivering system software on small devices. Midori includes a build system, a Linux kernel with memory- and storage-conserving features, and system-level support for running normal Linux software.","Categories
Other/Nonlisted Topic, Software Distribution"
CycloGraph is an application to plot the gradient of roads using distances and heights. An open source alternative to Salitaker for plotting the profile of the roads your are planning to do with your bicycle. It also can import routes from kml.CycloGraph is an application to plot the gradient of roads using distances and heights. An open source alternative to Salitaker for plotting the profile of the roads your are planning to do with your bicycle. It also can import routes from kml.,"Categories
Other/Nonlisted Topic"
Cafe Con Leche (CCL) are a crossplataform library (libccl) to make programs to manage internet cafes and program that does just that using libccl.Cafe Con Leche (CCL) are a crossplataform library (libccl) to make programs to manage internet cafes and program that does just that using libccl.,"Categories
Other/Nonlisted Topic, Accounting, Point of Sale (POS)"
"iDiet management software that will help people choose, customize and follow their diet. Several supported diets ( eg. Atkins, Summer Fresh,The Zone, Weight Watchers, Body for Life etc ) with details for every one of them.iDiet management software that will help people choose, customize and follow their diet. Several supported diets ( eg. Atkins, Summer Fresh,The Zone, Weight Watchers, Body for Life etc ) with details for every one of them.","Categories
Other/Nonlisted Topic"
"The script pack is meant for devices running Windows Mobile 5 & 6.x with Mort's MortScript as the macro engine. Offers advanced copy/paste, clipboard histor plus many more tools and browser pluggin options that a Windows Mobile lacks.The script pack is meant for devices running Windows Mobile 5 & 6.x with Mort's MortScript as the macro engine. Offers advanced copy/paste, clipboard histor plus many more tools and browser pluggin options that a Windows Mobile lacks.","Categories
Other/Nonlisted Topic"
"Guv'nor Portable Workspace aims to bring many of your favourite applications in a 'portable' format, so you can use them anytime, anywhere... directly running from a USB removable device.Guv'nor Portable Workspace aims to bring many of your favourite applications in a 'portable' format, so you can use them anytime, anywhere... directly running from a USB removable device.","Categories
Other/Nonlisted Topic, Desktop Environment"
KeyTouch makes it possible to easily configure the extra function keys (like multimedia keys) of your keyboard. You can define which program will be executed while pressing a key. KeyTouch 2 is the first program of its kind that works on kernel 2.6.KeyTouch makes it possible to easily configure the extra function keys (like multimedia keys) of your keyboard. You can define which program will be executed while pressing a key. KeyTouch 2 is the first program of its kind that works on kernel 2.6.,"Categories
Other/Nonlisted Topic, Desktop Environment, Hardware"
"A Windows Graphical User Interface for XPdf and PdfToHtml Tools. An easy way to convert PDF files in simple text, jpeg, html and or extract images. It use xpdf (http://www.foolabs.com/xpdf/home.html) and pdftohtmlA Windows Graphical User Interface for XPdf and PdfToHtml Tools. An easy way to convert PDF files in simple text, jpeg, html and or extract images. It use xpdf (http://www.foolabs.com/xpdf/home.html) and pdftohtml","Categories
Other/Nonlisted Topic, Office Suites, Documentation"
"Track your Agility dog trial results. Multiple dogs can be tracked in a single file. Many venues are supported. Windows and Mac are supported.

Please note: ARB moved to GitHub on 2017-12-27: https://github.com/dconnet/AgilityBookTrack your Agility dog trial results. Multiple dogs can be tracked in a single file. Many venues are supported. Windows and Mac are supported.

Please note: ARB moved to GitHub on 2017-12-27: https://github.com/dconnet/AgilityBook","Categories
Other/Nonlisted Topic, Simulation, Hobbies"
"WE NOW USE GITHUB: https://github.com/DougEdey/StrangeBrew

A cross-platform reimplementation of the StrangeBrew brewing software written in Java. Planned features include management for mashing, water profiles, cost, carbonation, inventory control and more.WE NOW USE GITHUB: https://github.com/DougEdey/StrangeBrew

A cross-platform reimplementation of the StrangeBrew brewing software written in Java. Planned features include management for mashing, water profiles, cost, carbonation, inventory control and more.","Categories
Other/Nonlisted Topic"
"Animal Clinic or Veterinary practice management. Stores and manipulates clients, animals, appointments, operations, medication, procedures. Generates bills, receipts and forms and tracks batch numbers. Fully network compatible.Animal Clinic or Veterinary practice management. Stores and manipulates clients, animals, appointments, operations, medication, procedures. Generates bills, receipts and forms and tracks batch numbers. Fully network compatible.","Categories
Other/Nonlisted Topic, Clinic Management"
QTScrobbler is a tool to upload information about the tracks you have played from your Digital Audio Player (DAP) to your last.fm account. It is able to gather this information from Apple iPods or DAPs running the Rockbox replacement firmware.QTScrobbler is a tool to upload information about the tracks you have played from your Digital Audio Player (DAP) to your last.fm account. It is able to gather this information from Apple iPods or DAPs running the Rockbox replacement firmware.,"Categories
Other/Nonlisted Topic"
Please go to GitHub for the latest release. https://github.com/geoffhumphrey/brewcompetitiononlineentry/releasesPlease go to GitHub for the latest release. https://github.com/geoffhumphrey/brewcompetitiononlineentry/releases,"Categories
Other/Nonlisted Topic"
"SCL Manipulation and Configuration Tools, is a set of libraries and applications that allows to create and modify XML files witch use Substation Configutation Language based on IEC61850 part 6 standart.SCL Manipulation and Configuration Tools, is a set of libraries and applications that allows to create and modify XML files witch use Substation Configutation Language based on IEC61850 part 6 standart.","Categories
Other/Nonlisted Topic, Object Oriented, User Interface (UI), SCADA, Libraries"
EnyWare is an integration platform for commodity trading and transportation systems that utilizes a comprehensive XML business model derived from 10+ years of object oriented modeling of the commodity markets at major energy marketers.EnyWare is an integration platform for commodity trading and transportation systems that utilizes a comprehensive XML business model derived from 10+ years of object oriented modeling of the commodity markets at major energy marketers.,"Categories
Other/Nonlisted Topic, Office/Business, Software Development"
"WebAddressBook is an addressbook written in PHP. It uses ADOdb as databse abstraction layer, at the moment only MySQL is supported, others may work as well. It has many import and export functions like Microsoft WAB, VCF, CSV, XML, white listsWebAddressBook is an addressbook written in PHP. It uses ADOdb as databse abstraction layer, at the moment only MySQL is supported, others may work as well. It has many import and export functions like Microsoft WAB, VCF, CSV, XML, white lists","Categories
Email, Other/Nonlisted Topic, WWW/HTTP"
