Description,Category
AIDE - Advanced Intrusion Detection EnvironmentAIDE - Advanced Intrusion Detection Environment,"Categories
Systems Administration, Monitoring, Logging, Internet"
"CD recording in DAO mode, console and Gnome based application.CD recording in DAO mode, console and Gnome based application.","Categories
Archiving, CD Audio"
"The AROS Research Operating System is an effort to implement an Open Source and portable operating system that is compatible with AmigaOS(TM). Originally, it was meant as a direct reimplementation, but already has features not existing in AmigaOS.The AROS Research Operating System is an effort to implement an Open Source and portable operating system that is compatible with AmigaOS(TM). Originally, it was meant as a direct reimplementation, but already has features not existing in AmigaOS.","Categories
Operating System Kernels"
"Allows editing of any size file in hexadecimal, decimal and ASCII. A great tool that allows you to edit and analyze the contents for either the data or resource fork of any type of file. 68K, PPC and Carbon run on MacOS 7-9 and X.Allows editing of any size file in hexadecimal, decimal and ASCII. A great tool that allows you to edit and analyze the contents for either the data or resource fork of any type of file. 68K, PPC and Carbon run on MacOS 7-9 and X.","Categories
Text Editors, CGI Scripts, Software Development, Frameworks, Code Generators, System"
A scanner button daemon for Linux (and possibly other Unix-like operating systems) which allows you to trigger certain actions (e.g. run a shell script) whenever one of the scanner's front panel buttons has been pressed.A scanner button daemon for Linux (and possibly other Unix-like operating systems) which allows you to trigger certain actions (e.g. run a shell script) whenever one of the scanner's front panel buttons has been pressed.,"Categories
Hardware"
"LCD Smartie displays information on your LCD/VFD. It supports LCDs with a Hitachi HD44780 Controller via parallel port & Matrix Orbital and Crystalfontz serial/USB LCD/VFDs.

Info includes: CPU temps, fan speed, the BBC World News, Stocks indexes etc.LCD Smartie displays information on your LCD/VFD. It supports LCDs with a Hitachi HD44780 Controller via parallel port & Matrix Orbital and Crystalfontz serial/USB LCD/VFDs.

Info includes: CPU temps, fan speed, the BBC World News, Stocks indexes etc.","Categories
Serial, Monitoring, Hardware"
"Loki Render allows you to create your own render farm, serving Blender render jobs to a group of computers. Loki is easy to setup and runs on Linux, Windows or Mac, making it a quick and flexible distributed network rendering solution!Loki Render allows you to create your own render farm, serving Blender render jobs to a group of computers. Loki is easy to setup and runs on Linux, Windows or Mac, making it a quick and flexible distributed network rendering solution!","Categories
Distributed Computing, 3D Modeling, 3D Rendering"
SNMP Trap Translator is used to 'translate' traps received from the NET-SNMP / UCD-SNMP snmptrapd trap daemon into easy to understand messages.SNMP Trap Translator is used to 'translate' traps received from the NET-SNMP / UCD-SNMP snmptrapd trap daemon into easy to understand messages.,"Categories
Monitoring"
FirefoxADM is a way of allowing centrally managed locked and/or default settings in Firefox via Group Policy and Administrative Templates in Active Directory Latest news about FirefoxADM at http://ick2.wordpress.comFirefoxADM is a way of allowing centrally managed locked and/or default settings in Firefox via Group Policy and Administrative Templates in Active Directory Latest news about FirefoxADM at http://ick2.wordpress.com,"Categories
Systems Administration, Internet"
Rootsh is a wrapper for shells which logs all echoed keystrokes and terminal output to a file and/or to syslog. It's main purpose is the auditing of users who need a shell with root privileges. They start rootsh through the sudo mechanism.Rootsh is a wrapper for shells which logs all echoed keystrokes and terminal output to a file and/or to syslog. It's main purpose is the auditing of users who need a shell with root privileges. They start rootsh through the sudo mechanism.,"Categories
System Shells, Logging"
"The GlobalPlatform card specification is a standard for the management of the contents on a smart card. Mainly this comprises the installation and the removal of applications. This project offers a C library and a command line shell.

Find more information on https://kaoh.github.io/globalplatform/The GlobalPlatform card specification is a standard for the management of the contents on a smart card. Mainly this comprises the installation and the removal of applications. This project offers a C library and a command line shell.

Find more information on https://kaoh.github.io/globalplatform/","Categories
Security, Installation/Setup, Hardware"
"The environment modules package provides for an easy dynamic modification of a user's environment via modulefiles. which typically instruct the module command to alter or set shell environment variables such as PATH, MANPATH, etc. as well as define aliases over a variety of shells.The environment modules package provides for an easy dynamic modification of a user's environment via modulefiles. which typically instruct the module command to alter or set shell environment variables such as PATH, MANPATH, etc. as well as define aliases over a variety of shells.","Categories
Other/Nonlisted Topic, Desktop Environment, System"
Splix is a driver for SPL printers (Samsung and several Xerox printers)Splix is a driver for SPL printers (Samsung and several Xerox printers),"Categories
Hardware Drivers"
"Master/node to gather and graph ""everything"" on your systems using Tobi Oetiker's rrdtool. It can optionally warn your surveillance software. This software package was originally called LRRD. The project. Please see http://munin-monitoring.org/Master/node to gather and graph ""everything"" on your systems using Tobi Oetiker's rrdtool. It can optionally warn your surveillance software. This software package was originally called LRRD. The project. Please see http://munin-monitoring.org/","Categories
Systems Administration, Monitoring, Benchmark"
"A project to provide change control for OpenDocument files via subversion under Unix. Can check in internal changes in files and allows users to recover any previous version, view logs and compare with older versions.A project to provide change control for OpenDocument files via subversion under Unix. Can check in internal changes in files and allows users to recover any previous version, view logs and compare with older versions.","Categories
Office Suites, Backup, Subversion"
This project is a random collection of Linux kernel-related projects and source code.This project is a random collection of Linux kernel-related projects and source code.,"Categories
Operating System Kernels"
The Doszip Commander is an LFN-aware TUI file manager (NC clone) with built-in Zip and UnZip for DOS and Windows.The Doszip Commander is an LFN-aware TUI file manager (NC clone) with built-in Zip and UnZip for DOS and Windows.,"Categories
File Managers, System Shells"
Drcom-Client is an open source ISP client for logging in to the 2133 Broadband Remote Access Server (also known as Dr.COM). It is released under the GNU General Public License. It is available for GNU/Linux and Windows now.Drcom-Client is an open source ISP client for logging in to the 2133 Broadband Remote Access Server (also known as Dr.COM). It is released under the GNU General Public License. It is available for GNU/Linux and Windows now.,"Categories
Networking"
DaedalusX64 is the continuation of the original Daedalus PSP port by StrmnNrmn. It is a GPL Open Source project. The official support and discussion forum is located at http://DaedalusX64.comDaedalusX64 is the continuation of the original Daedalus PSP port by StrmnNrmn. It is a GPL Open Source project. The official support and discussion forum is located at http://DaedalusX64.com,"Categories
Emulators"
iplist is a list based packet handler which uses the netfilter netlink-queue library (kernel 2.6.14 or later). It filters by IP-address and is optimized for thousands of IP-address ranges.iplist is a list based packet handler which uses the netfilter netlink-queue library (kernel 2.6.14 or later). It filters by IP-address and is optimized for thousands of IP-address ranges.,"Categories
File Sharing, Firewall"
"NOTE: THIS PROJECT HAS MOVED TO GITHUB.

Download from http://nquake.com
Source code: http://github.com/nquake

QuakeWorld is a very fragmented game. Installing QuakeWorld involves installing Quake, downloading a client, downloading textures, scripts, addons, maps and much more. nQuake does all this for you with a simple online installer. nQuake always installs a completely updated package of QuakeWorld that simply works.

nQuake has become the standard within QuakeWorld, so even if you don't like the content of nQuake, it's a very good base for your installation. If you run into problems - simply install nQuake fresh and modify it until you are satisfied. Getting help with issues you bump into will be a lot easier if you started out with nQuake.NOTE: THIS PROJECT HAS MOVED TO GITHUB.

Download from http://nquake.com
Source code: http://github.com/nquake

QuakeWorld is a very fragmented game. Installing QuakeWorld involves installing Quake, downloading a client, downloading textures, scripts, addons, maps and much more. nQuake does all this for you with a simple online installer. nQuake always installs a completely updated package of QuakeWorld that simply works.

nQuake has become the standard within QuakeWorld, so even if you don't like the content of nQuake, it's a very good base for your installation. If you run into problems - simply install nQuake fresh and modify it until you are satisfied. Getting help with issues you bump into will be a lot easier if you started out with nQuake.","Categories
First Person Shooters, Installation/Setup"
"Wubi is an officially supported Ubuntu installer for Windows users that can bring you to the Linux world with a single click. The website has moved to http://www.ubuntu.com/desktop/get-ubuntu/windows-installer, where you can find the latest release.Wubi is an officially supported Ubuntu installer for Windows users that can bring you to the Linux world with a single click. The website has moved to http://www.ubuntu.com/desktop/get-ubuntu/windows-installer, where you can find the latest release.","Categories
Emulators, Installation/Setup"
"Kosmos distributed file system provides high performance combined with availability and reliability. It is intended to be used as the backend storage infrastructure for data intensive apps such as, search engines, data mining, grid computing etc.Kosmos distributed file system provides high performance combined with availability and reliability. It is intended to be used as the backend storage infrastructure for data intensive apps such as, search engines, data mining, grid computing etc.","Categories
File Systems"
"IMPORTANT: The project has moved. The latest version can be found at https://github.com/gkiefer/backup2l.


backup2l is a lightweight tool for generating, maintaining and restoring backups on a mountable file system. The main design goals are low maintenance effort, efficiency, transparency and robustness.IMPORTANT: The project has moved. The latest version can be found at https://github.com/gkiefer/backup2l.


backup2l is a lightweight tool for generating, maintaining and restoring backups on a mountable file system. The main design goals are low maintenance effort, efficiency, transparency and robustness.","Categories
Backup"
"PNP is an addon for the Nagios Network Monitoring System. PNP provides easy to use, easy to configure RRDTools based performance charts feeded by the performance data output of the Nagios Plugins.PNP is an addon for the Nagios Network Monitoring System. PNP provides easy to use, easy to configure RRDTools based performance charts feeded by the performance data output of the Nagios Plugins.","Categories
Monitoring"
"Tools for using C-motech hardware with Linux. Initially, a program to switch the CNU-680 USB Modem from CD to modem mode will be provided. It is typically used in conjunction with udev. The CNU-680 is sold as ""D-50"" by ice.net.Tools for using C-motech hardware with Linux. Initially, a program to switch the CNU-680 USB Modem from CD to modem mode will be provided. It is typically used in conjunction with udev. The CNU-680 is sold as ""D-50"" by ice.net.","Categories
Wireless"
"""xmlsh"" is derived from the design and goals the unix shell and core commands but with XML expressions and documents added as core features to the shell. xmlsh can be used as a drop-in replacement for scripting xml transformations instead of sh.""xmlsh"" is derived from the design and goals the unix shell and core commands but with XML expressions and documents added as core features to the shell. xmlsh can be used as a drop-in replacement for scripting xml transformations instead of sh.","Categories
XML, Interpreters, System Shells"
Environment Variables Manager (EnvMan) is a tool written in C# .Net intended to handle the administration of Windows Shell Environment Variables. It is designed to replace Control Panel System Environment Manager and easily manage long variable values.Environment Variables Manager (EnvMan) is a tool written in C# .Net intended to handle the administration of Windows Shell Environment Variables. It is designed to replace Control Panel System Environment Manager and easily manage long variable values.,"Categories
Systems Administration"
"DownloadDaemon is a comfortable download-manager with many features like one-click-hoster support, etc.
It can be remote-controled in several ways (web/gui/console clients), which makes it perfect for file- and root-servers, as well as for local use.DownloadDaemon is a comfortable download-manager with many features like one-click-hoster support, etc.
It can be remote-controled in several ways (web/gui/console clients), which makes it perfect for file- and root-servers, as well as for local use.","Categories
File Sharing, Internet, Download Managers"
"EVACopy is a backup program that has versioning and easy restoration in mind. It's light-weight, portable (no setup required, no dependencies, no repository, no database), easily deployed to multiple workstations, simple to use. ideal for home users tooEVACopy is a backup program that has versioning and easy restoration in mind. It's light-weight, portable (no setup required, no dependencies, no repository, no database), easily deployed to multiple workstations, simple to use. ideal for home users too","Categories
Version Control, Backup, Data Recovery"
JMStella is a J2ME Atari 2600 VCS emulator based upon JStella 0.95. It allows one to play Atari 2600 games on a java-enabled mobile phone.JMStella is a J2ME Atari 2600 VCS emulator based upon JStella 0.95. It allows one to play Atari 2600 games on a java-enabled mobile phone.,"Categories
Games/Entertainment, Emulators"
"Openfiler is a browser-based network storage management utility. Linux-powered, Openfiler delivers file-based Network Attached Storage (NAS) and block-based SAN in a single framework. It supports CIFS, NFS, HTTP/DAV, FTP, and iSCSI.Openfiler is a browser-based network storage management utility. Linux-powered, Openfiler delivers file-based Network Attached Storage (NAS) and block-based SAN in a single framework. It supports CIFS, NFS, HTTP/DAV, FTP, and iSCSI.","Categories
Enterprise, Backup, File Systems"
SHOUTcast Management Interface (BETA) - Create and modify shoutcast servers with the ease of a web based interface. This is a free open source stream control panel for PHP5 enabled web servers with MySQL 4.1 or newer.SHOUTcast Management Interface (BETA) - Create and modify shoutcast servers with the ease of a web based interface. This is a free open source stream control panel for PHP5 enabled web servers with MySQL 4.1 or newer.,"Categories
Streaming, Systems Administration, Sound/Audio"
"Zorin OS is the alternative to Windows and macOS designed to make your computer faster, more powerful, secure, and privacy respecting.

This page is deprecated. Please download Zorin OS from https://zorin.com/os/downloadZorin OS is the alternative to Windows and macOS designed to make your computer faster, more powerful, secure, and privacy respecting.

This page is deprecated. Please download Zorin OS from https://zorin.com/os/download","Categories
Software Distribution, OS distribution, Live CD"
"Find And Replace Text command line utility. New & improved version of the well-known grep command, with advanced features such as: case-adaption of the replace string; find (& replace) in filenames, auto CVS edit.

Moved to https://github.com/lionello/fart-itFind And Replace Text command line utility. New & improved version of the well-known grep command, with advanced features such as: case-adaption of the replace string; find (& replace) in filenames, auto CVS edit.

Moved to https://github.com/lionello/fart-it","Categories
Text Processing, Systems Administration"
"TGM is a gaming macro that lets you have a macro mouse and keyboard functionally with ordinary one.

You can create or record multiple macros and assign them to any key combinations to trigger and loop them when you need how you need.

TGM is made for gamers but it's capable of so much more. So you can use it for daily tasks as well.

For any question, bug report or feature request feel free to visit forum tab.

Note: To simulate arrow keys you might need to turn off NumLock.

VirusTotal Result:
#Portable
https://www.virustotal.com/gui/file/07a8cba055e9e2034af48824c5e7b710d2f9e81fb55e81e1ce5d7d5ea8aed91e
#Installer
https://www.virustotal.com/gui/file/fe1b650250802b85ddbda6fe2c0f74600b068e3a33cd45724ea98ce322e3ea8fTGM is a gaming macro that lets you have a macro mouse and keyboard functionally with ordinary one.

You can create or record multiple macros and assign them to any key combinations to trigger and loop them when you need how you need.

TGM is made for gamers but it's capable of so much more. So you can use it for daily tasks as well.

For any question, bug report or feature request feel free to visit forum tab.

Note: To simulate arrow keys you might need to turn off NumLock.

VirusTotal Result:
#Portable
https://www.virustotal.com/gui/file/07a8cba055e9e2034af48824c5e7b710d2f9e81fb55e81e1ce5d7d5ea8aed91e
#Installer
https://www.virustotal.com/gui/file/fe1b650250802b85ddbda6fe2c0f74600b068e3a33cd45724ea98ce322e3ea8f","Categories
Games/Entertainment, Systems Administration, Macros"
"Mini Mouse Macro is a great free mouse and keyboard recording macro. Mini Mouse Macro if different to other mouse macro's out there because it can actively record your mouse movements, clicks and keys. Lower standard macro's require you to actually enter the x and y position of your mouse and then ask you what to do.....Mini Mouse Macro recorder takes it to the next level by recording your actions in real time.

Another great feature of Mini Mouse Macro is the ability to save your macro's and load up whatever macro you need when you need it.

Mini Mouse Macro is totally portable - a single executable file!

Checkout VirusTotal https://www.virustotal.com/gui/file/ab83463d785f91e915b8faf8b5d87b94aba9f1510f51962f982eaddece643f68

Check out the forum https://minimousemacro.proboards.com/

Want a fee copy of Pro? Create a YouTube video of your macro and send me the link! https://www.turnssoft.com/mmmyoutube.html

Check out my Patreon https://www.patreon.com/minimousemacroMini Mouse Macro is a great free mouse and keyboard recording macro. Mini Mouse Macro if different to other mouse macro's out there because it can actively record your mouse movements, clicks and keys. Lower standard macro's require you to actually enter the x and y position of your mouse and then ask you what to do.....Mini Mouse Macro recorder takes it to the next level by recording your actions in real time.

Another great feature of Mini Mouse Macro is the ability to save your macro's and load up whatever macro you need when you need it.

Mini Mouse Macro is totally portable - a single executable file!

Checkout VirusTotal https://www.virustotal.com/gui/file/ab83463d785f91e915b8faf8b5d87b94aba9f1510f51962f982eaddece643f68

Check out the forum https://minimousemacro.proboards.com/

Want a fee copy of Pro? Create a YouTube video of your macro and send me the link! https://www.turnssoft.com/mmmyoutube.html

Check out my Patreon https://www.patreon.com/minimousemacro","Categories
Auto Clicker, Macros, Auto Mouse Movers, Macro Recorders"
"cx_Freeze is a set of utilities for freezing Python scripts into executables using many of the techniques found in Thomas Heller's py2exe, Gordon McMillan's Installer and the Freeze utility that ships with Python itselfcx_Freeze is a set of utilities for freezing Python scripts into executables using many of the techniques found in Thomas Heller's py2exe, Gordon McMillan's Installer and the Freeze utility that ships with Python itself","Categories
Build Tools, Software Distribution"
"A cross platform file and folder mass renamer, allows many different renaming operations in a GUI.

Please note that development has moved to GitHub:
https://github.com/metamorphoseA cross platform file and folder mass renamer, allows many different renaming operations in a GUI.

Please note that development has moved to GitHub:
https://github.com/metamorphose","Categories
File Managers"
"The sbackup suite is a simple backup solution for Gnome desktop. All configuration is accessable via Gnome interface. File and paths can be included and excluded directly or by regex, local and remote backups supported.The sbackup suite is a simple backup solution for Gnome desktop. All configuration is accessable via Gnome interface. File and paths can be included and excluded directly or by regex, local and remote backups supported.","Categories
Backup"
"Windows 10 Setup Helper for gamers, power users and administrators.
Script is no longer in active development because Windows 10 is being updated too frequently.
Version 9:
rmApps.cmd -> Script with Y/N interaction
autoRmApps.cmd -> Script without interaction
advRmApps.cmd -> Script without limitation. Can remove everything with Y/N interaction. Warning!!! Wrong usage can break your Windows! (Remove Cortana with this script after autoRmApps.cmd script finished)
- clean uninstall of Apps via dism.exe (All Users)
- tweaks from Windows Privacy Tweaker
- nearly every app can be removed
- service configuration choice: Safe or Microsoft (Black Viper's Service Configuration)
- removed some more stuff for your privacy (Privacy And Shit Script)
- OneDrive can be removed before it gets installedWindows 10 Setup Helper for gamers, power users and administrators.
Script is no longer in active development because Windows 10 is being updated too frequently.
Version 9:
rmApps.cmd -> Script with Y/N interaction
autoRmApps.cmd -> Script without interaction
advRmApps.cmd -> Script without limitation. Can remove everything with Y/N interaction. Warning!!! Wrong usage can break your Windows! (Remove Cortana with this script after autoRmApps.cmd script finished)
- clean uninstall of Apps via dism.exe (All Users)
- tweaks from Windows Privacy Tweaker
- nearly every app can be removed
- service configuration choice: Safe or Microsoft (Black Viper's Service Configuration)
- removed some more stuff for your privacy (Privacy And Shit Script)
- OneDrive can be removed before it gets installed","Categories
Systems Administration"
"Berryboot is a simple operating system installer and boot selection screen for ARM devices such as the Raspberry Pi and Cubieboard.

It allows you to put multiple Linux distribution on a single SD card.Berryboot is a simple operating system installer and boot selection screen for ARM devices such as the Raspberry Pi and Cubieboard.

It allows you to put multiple Linux distribution on a single SD card.","Categories
OS distribution"
"This project was originally designed to provide an open-source replacement for PPJoy. The product, at this point, consists of virtual joystick devices that is seen by the system as a standard joystick but its position-data is written to it by a feeder application. An existing feeder application that takes advantage of this product is SmartPropoPlus. If you are an application writer you can very easily write an application that controls a joystick (e.g. mouse-to-joystick, keyboard-to-joystick). If you are a beginner in device drivers you can take this code and enhance it to support more (or less) axes, buttons or POVs.This project was originally designed to provide an open-source replacement for PPJoy. The product, at this point, consists of virtual joystick devices that is seen by the system as a standard joystick but its position-data is written to it by a feeder application. An existing feeder application that takes advantage of this product is SmartPropoPlus. If you are an application writer you can very easily write an application that controls a joystick (e.g. mouse-to-joystick, keyboard-to-joystick). If you are a beginner in device drivers you can take this code and enhance it to support more (or less) axes, buttons or POVs.","Categories
Hardware Drivers, Flight Simulator"
"PEBL (Psychology Experiment Building Language) is a system designed for creating psychology and neuroscience experiments and tests. It is cross-platform, with the intention to run the same experiment, unchanged, on Linux, Windows, and Macintosh PCs.PEBL (Psychology Experiment Building Language) is a system designed for creating psychology and neuroscience experiments and tests. It is cross-platform, with the intention to run the same experiment, unchanged, on Linux, Windows, and Macintosh PCs.","Categories
Site Management, Compilers, Interpreters, Design, Software Distribution, Presentation, Scientific/Engineering, Exam"
"An open source NES Emulator for Windows and Unix that features solid emulation accuracy and state of the art tools for power users.

FCEUX's source code is now hosted at https://github.com/TASVideos/fceux/

win32 autobuilds @ https://ci.appveyor.com/project/zeromus/fceux/build/artifactsAn open source NES Emulator for Windows and Unix that features solid emulation accuracy and state of the art tools for power users.

FCEUX's source code is now hosted at https://github.com/TASVideos/fceux/

win32 autobuilds @ https://ci.appveyor.com/project/zeromus/fceux/build/artifacts","Categories
Games/Entertainment, Emulators"
"IP Monitor is a simple application which monitors your public IP address for changes and lets you set different kinds of notifications such as email, audio, pop up or executing a command. It can also run in background as a Windows service or Linux/Mac daemon.IP Monitor is a simple application which monitors your public IP address for changes and lets you set different kinds of notifications such as email, audio, pop up or executing a command. It can also run in background as a Windows service or Linux/Mac daemon.","Categories
Monitoring"
"Another duplicate file finder/remover. But this one is ULTRA FAST, safe, easy to use and of course free and open source.Another duplicate file finder/remover. But this one is ULTRA FAST, safe, easy to use and of course free and open source.","Categories
File Managers"
"Etcher is a powerful OS image flasher. It protects a user from accidentally overwriting hard-drives by making drive selection obvious; and with validated flashing there is no more writing images to corrupted drives. It is also called balenaEtcher since it is developed by balena.

In addition, Etcher can flash directly Raspberry Pi devices that support usbboot. Use for .iso and .img files, as well as zipped folders to create live SD cards and USB flash drives.

Written with Electron for cross platform use (windows, macOS, and Linux).Etcher is a powerful OS image flasher. It protects a user from accidentally overwriting hard-drives by making drive selection obvious; and with validated flashing there is no more writing images to corrupted drives. It is also called balenaEtcher since it is developed by balena.

In addition, Etcher can flash directly Raspberry Pi devices that support usbboot. Use for .iso and .img files, as well as zipped folders to create live SD cards and USB flash drives.

Written with Electron for cross platform use (windows, macOS, and Linux).","Categories
System, Systems Administration"
"LxPup is a version of Puppy Linux using the LXDE desktop environment and is an updated “descendent” of loukitchou’s LxPup13.01.
LxPup offers the Openbox window manager, LxPanel panel manager and PCManFM file manager.
There are various ""flavours"" of LxPup some built as derivatives of official Puppy Linux builds (based on Slackware and Ubuntu components) and one a new woof-ce build (Slackware based). The various flavours offer different kernels and access to the software repositories of the base system.
LxPup combines all the significant advantages of Puppy Linux - small iso size, extensive hardware support, wide range of applications built-in, live cd and frugal installs, friendly supportive user forum etc etc, with the lightweight but modern LXDE desktop environment.
Visit the support website for more details.LxPup is a version of Puppy Linux using the LXDE desktop environment and is an updated “descendent” of loukitchou’s LxPup13.01.
LxPup offers the Openbox window manager, LxPanel panel manager and PCManFM file manager.
There are various ""flavours"" of LxPup some built as derivatives of official Puppy Linux builds (based on Slackware and Ubuntu components) and one a new woof-ce build (Slackware based). The various flavours offer different kernels and access to the software repositories of the base system.
LxPup combines all the significant advantages of Puppy Linux - small iso size, extensive hardware support, wide range of applications built-in, live cd and frugal installs, friendly supportive user forum etc etc, with the lightweight but modern LXDE desktop environment.
Visit the support website for more details.","Categories
System, OS distribution, Live CD"
"*NOTE*
I am currently rewriting this and hope to have something in a couple of weeks.

It can be frustrating to manually reinstall Firefox with all its extensions, themes, personas and other add-ons. Even for those administrators who need to deploy Firefox on hundreds of network computers will find it a cumbersome task to do it manually. To assist you in building a silent Firefox installer with all of the settings preset, here is FFaM, aka Firefox Addon Maker.


This is an application written in C# that will create a silent installer. The installer can be created in Windows XP, Vista or Windows 7, 32-bit or 64-bit. The installers can be installed in Windows XP, Vista or Windows 7, 32-bit or 64-bit. You can create an installer with all of your settings intact, an installer with no modifications. Or, anything in between. You can create an installer from one of the three versions posted by Mozilla, the Current version, the Previous version and the Beta version.*NOTE*
I am currently rewriting this and hope to have something in a couple of weeks.

It can be frustrating to manually reinstall Firefox with all its extensions, themes, personas and other add-ons. Even for those administrators who need to deploy Firefox on hundreds of network computers will find it a cumbersome task to do it manually. To assist you in building a silent Firefox installer with all of the settings preset, here is FFaM, aka Firefox Addon Maker.


This is an application written in C# that will create a silent installer. The installer can be created in Windows XP, Vista or Windows 7, 32-bit or 64-bit. The installers can be installed in Windows XP, Vista or Windows 7, 32-bit or 64-bit. You can create an installer with all of your settings intact, an installer with no modifications. Or, anything in between. You can create an installer from one of the three versions posted by Mozilla, the Current version, the Previous version and the Beta version.","Categories
Browsers, Application Packaging"
"bitfarm-Archiv is a powerful Document Management (DMS), Enterprise Content Management (ECM) and Knowledge Management System (KMS) with Workflow Components. Features: Scanning, OCR, Full text search, Email archiving.

Help us!
As we live in the internet age, the best thing, you can help, is to write a short statement about your scenario and your use of the DMS, along with your experiences and put it on your own website or in a blog or forum. It would help us best, if you can also add a hyperlink to our site http://www.bitfarm-archiv.com. By this you help the software to gain a better presence in the web which helps distribute it. This, however, will allow us to acquire more enterprise customers which gives us more resources, e.g. for further development of the GPL version.bitfarm-Archiv is a powerful Document Management (DMS), Enterprise Content Management (ECM) and Knowledge Management System (KMS) with Workflow Components. Features: Scanning, OCR, Full text search, Email archiving.

Help us!
As we live in the internet age, the best thing, you can help, is to write a short statement about your scenario and your use of the DMS, along with your experiences and put it on your own website or in a blog or forum. It would help us best, if you can also add a hyperlink to our site http://www.bitfarm-archiv.com. By this you help the software to gain a better presence in the web which helps distribute it. This, however, will allow us to acquire more enterprise customers which gives us more resources, e.g. for further development of the GPL version.","Categories
Archiving, Workflow Management, Knowledge Management, OCR"
symbian s60 port of the DOSBox emulator for devices running s60 3rd edition feature pack 1 (or later)symbian s60 port of the DOSBox emulator for devices running s60 3rd edition feature pack 1 (or later),"Categories
Games/Entertainment, Emulators, Mobile"
Tux Commander is an open-source file manager with 2 panels side by side written for GTK2.Tux Commander is an open-source file manager with 2 panels side by side written for GTK2.,"Categories
File Managers"
